2026-09-13 13:53:29 | INFO     | src.pipelines.alpha_factory.pipeline | Logging to /Users/milanpeter/Documents/Repositories/Systematic-Trading-Pipeline/logs/alpha_factory/20260913_135329.log
2026-09-13 13:53:29 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-13 13:53:29 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY PIPELINE
2026-09-13 13:53:29 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-13 13:53:29 | INFO     | src.pipelines.alpha_factory.pipeline | [1/6] Screening for cointegrated pairs...
2026-09-13 13:54:10 | INFO     | src.pipelines.alpha_factory.pipeline | Found 2 cointegrated pair(s): ['AUDUSD_VOD', 'XAGUSD_XAUUSD']
2026-09-13 13:54:10 | INFO     | src.pipelines.alpha_factory.pipeline | [2/6] Generating strategy candidates...
2026-09-13 13:54:10 | INFO     | src.pipelines.alpha_factory.pipeline | Generated 2436 official candidates.
2026-09-13 13:54:10 | INFO     | src.pipelines.alpha_factory.pipeline | 72 of 2436 candidates due for testing this run (2364 still within their 30-day cooldown).
2026-09-13 13:54:10 | INFO     | src.pipelines.alpha_factory.pipeline | [3/6] Running candidate backtests (batch 1/1, 72 candidates)...
2026-09-13 13:54:23 | INFO     | src.pipelines.alpha_factory.pipeline | Completed 72 candidate backtests (batch 1/1).
2026-09-13 13:54:23 | INFO     | src.pipelines.alpha_factory.pipeline | [4/6] Running Layer 1 (batch 1/1): OOS and parameter sensitivity...
2026-09-13 13:58:35 | INFO     | src.pipelines.alpha_factory.pipeline | Layer 1 passes across full tested history (batch 1/1): 415
2026-09-13 13:58:35 | INFO     | src.pipelines.alpha_factory.pipeline | Running Layer 2 (batch 1/1): walk-forward validation...
2026-09-13 14:15:44 | INFO     | src.pipelines.alpha_factory.pipeline | Layer 2 passes across full tested history (batch 1/1): 328
2026-09-13 14:15:44 | INFO     | src.pipelines.alpha_factory.pipeline | Running Layer 3 (batch 1/1): historical and synthetic stress...
2026-09-13 14:15:46 | INFO     | src.pipelines.alpha_factory.pipeline | Layer 3 passes across full tested history (batch 1/1): 1123
2026-09-13 14:15:46 | INFO     | src.pipelines.alpha_factory.pipeline | Running Layer 4 (batch 1/1): statistical validation...
2026-09-13 14:16:39 | INFO     | src.pipelines.alpha_factory.pipeline | Layer 4 passes across full tested history (batch 1/1): 0
2026-09-13 14:16:39 | INFO     | src.pipelines.alpha_factory.pipeline | [5/6] Building final funnel...
2026-09-13 14:16:39 | INFO     | src.pipelines.alpha_factory.pipeline | Recorded 72 test event(s) for run 20260913_135329.
2026-09-13 14:16:39 | INFO     | src.pipelines.alpha_factory.pipeline | [6/6] Building reporting outputs...
2026-09-13 14:16:41 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-13 14:16:41 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY COMPLETED
2026-09-13 14:16:41 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-13 14:16:41 | INFO     | src.pipelines.alpha_factory.pipeline | Official candidates: 2742
2026-09-13 14:16:41 | INFO     | src.pipelines.alpha_factory.pipeline | Final survivors: 0
2026-09-13 14:16:41 | INFO     | src.pipelines.alpha_factory.pipeline | Results directory: /Users/milanpeter/Documents/Repositories/Systematic-Trading-Pipeline/results
2026-09-13 14:16:41 | INFO     | src.pipelines.alpha_factory.pipeline | Report summary: /Users/milanpeter/Documents/Repositories/Systematic-Trading-Pipeline/results/report/report_summary.json
2026-09-13 14:16:41 | INFO     | src.pipelines.alpha_factory.pipeline | Pass complete. Sleeping 24.0h until next check.
2026-09-13 14:18:50 | INFO     | src.pipelines.alpha_factory.pipeline | Received signal 15; will stop after the current pass.
2026-09-13 14:19:11 | INFO     | src.pipelines.alpha_factory.pipeline | Shutdown requested, exiting.
