candidate_id,family,symbol,fast_window,slow_window,lookback,entry_z
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,,,24.0,1.5
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,,,48.0,1.5
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion,ETHUSD,,,96.0,1.5
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,,,24.0,2.0
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,,,48.0,2.0
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,,,96.0,2.0
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,,,24.0,1.5
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,,,48.0,1.5
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,,,96.0,1.5
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,,,24.0,2.0
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,,,48.0,2.0
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,,,96.0,2.0
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,,,24.0,1.5
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,,,48.0,1.5
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,,,96.0,1.5
mean_reversion__USDJPY__entry_z-2__lookback-24,mean_reversion,USDJPY,,,24.0,2.0
mean_reversion__USDJPY__entry_z-2__lookback-48,mean_reversion,USDJPY,,,48.0,2.0
mean_reversion__USDJPY__entry_z-2__lookback-96,mean_reversion,USDJPY,,,96.0,2.0
mean_reversion__XAUUSD__entry_z-1p5__lookback-24,mean_reversion,XAUUSD,,,24.0,1.5
mean_reversion__XAUUSD__entry_z-1p5__lookback-48,mean_reversion,XAUUSD,,,48.0,1.5
mean_reversion__XAUUSD__entry_z-1p5__lookback-96,mean_reversion,XAUUSD,,,96.0,1.5
mean_reversion__XAUUSD__entry_z-2__lookback-24,mean_reversion,XAUUSD,,,24.0,2.0
mean_reversion__XAUUSD__entry_z-2__lookback-48,mean_reversion,XAUUSD,,,48.0,2.0
mean_reversion__XAUUSD__entry_z-2__lookback-96,mean_reversion,XAUUSD,,,96.0,2.0
trend__ETHUSD__fast_window-12__slow_window-120,trend,ETHUSD,12.0,120.0,,
trend__ETHUSD__fast_window-12__slow_window-240,trend,ETHUSD,12.0,240.0,,
trend__ETHUSD__fast_window-12__slow_window-72,trend,ETHUSD,12.0,72.0,,
trend__ETHUSD__fast_window-24__slow_window-120,trend,ETHUSD,24.0,120.0,,
trend__ETHUSD__fast_window-24__slow_window-240,trend,ETHUSD,24.0,240.0,,
trend__ETHUSD__fast_window-24__slow_window-72,trend,ETHUSD,24.0,72.0,,
trend__SPXUSD__fast_window-12__slow_window-120,trend,SPXUSD,12.0,120.0,,
trend__SPXUSD__fast_window-12__slow_window-240,trend,SPXUSD,12.0,240.0,,
trend__SPXUSD__fast_window-12__slow_window-72,trend,SPXUSD,12.0,72.0,,
trend__SPXUSD__fast_window-24__slow_window-120,trend,SPXUSD,24.0,120.0,,
trend__SPXUSD__fast_window-24__slow_window-240,trend,SPXUSD,24.0,240.0,,
trend__SPXUSD__fast_window-24__slow_window-72,trend,SPXUSD,24.0,72.0,,
trend__USDJPY__fast_window-12__slow_window-120,trend,USDJPY,12.0,120.0,,
trend__USDJPY__fast_window-12__slow_window-240,trend,USDJPY,12.0,240.0,,
trend__USDJPY__fast_window-12__slow_window-72,trend,USDJPY,12.0,72.0,,
trend__USDJPY__fast_window-24__slow_window-120,trend,USDJPY,24.0,120.0,,
trend__USDJPY__fast_window-24__slow_window-240,trend,USDJPY,24.0,240.0,,
trend__USDJPY__fast_window-24__slow_window-72,trend,USDJPY,24.0,72.0,,
trend__XAUUSD__fast_window-12__slow_window-120,trend,XAUUSD,12.0,120.0,,
trend__XAUUSD__fast_window-12__slow_window-240,trend,XAUUSD,12.0,240.0,,
trend__XAUUSD__fast_window-12__slow_window-72,trend,XAUUSD,12.0,72.0,,
trend__XAUUSD__fast_window-24__slow_window-120,trend,XAUUSD,24.0,120.0,,
trend__XAUUSD__fast_window-24__slow_window-240,trend,XAUUSD,24.0,240.0,,
trend__XAUUSD__fast_window-24__slow_window-72,trend,XAUUSD,24.0,72.0,,
