candidate_id,family,symbol,threshold
carry__AUDUSD__threshold-0,carry,AUDUSD,0.0
carry__AUDUSD__threshold-0p25,carry,AUDUSD,0.25
carry__AUDUSD__threshold-0p5,carry,AUDUSD,0.5
carry__AUDUSD__threshold-0p75,carry,AUDUSD,0.75
carry__AUDUSD__threshold-1,carry,AUDUSD,1.0
carry__EURUSD__threshold-0,carry,EURUSD,0.0
carry__EURUSD__threshold-0p25,carry,EURUSD,0.25
carry__EURUSD__threshold-0p5,carry,EURUSD,0.5
carry__EURUSD__threshold-0p75,carry,EURUSD,0.75
carry__EURUSD__threshold-1,carry,EURUSD,1.0
carry__GBPUSD__threshold-0,carry,GBPUSD,0.0
carry__GBPUSD__threshold-0p25,carry,GBPUSD,0.25
carry__GBPUSD__threshold-0p5,carry,GBPUSD,0.5
carry__GBPUSD__threshold-0p75,carry,GBPUSD,0.75
carry__GBPUSD__threshold-1,carry,GBPUSD,1.0
carry__USDJPY__threshold-0,carry,USDJPY,0.0
carry__USDJPY__threshold-0p25,carry,USDJPY,0.25
carry__USDJPY__threshold-0p5,carry,USDJPY,0.5
carry__USDJPY__threshold-0p75,carry,USDJPY,0.75
carry__USDJPY__threshold-1,carry,USDJPY,1.0
