candidate_id,family,symbol,threshold
carry_real_rate__AUDUSD__threshold-0,carry_real_rate,AUDUSD,0.0
carry_real_rate__AUDUSD__threshold-0p25,carry_real_rate,AUDUSD,0.25
carry_real_rate__AUDUSD__threshold-0p5,carry_real_rate,AUDUSD,0.5
carry_real_rate__AUDUSD__threshold-0p75,carry_real_rate,AUDUSD,0.75
carry_real_rate__AUDUSD__threshold-1,carry_real_rate,AUDUSD,1.0
carry_real_rate__EURUSD__threshold-0,carry_real_rate,EURUSD,0.0
carry_real_rate__EURUSD__threshold-0p25,carry_real_rate,EURUSD,0.25
carry_real_rate__EURUSD__threshold-0p5,carry_real_rate,EURUSD,0.5
carry_real_rate__EURUSD__threshold-0p75,carry_real_rate,EURUSD,0.75
carry_real_rate__EURUSD__threshold-1,carry_real_rate,EURUSD,1.0
carry_real_rate__GBPUSD__threshold-0,carry_real_rate,GBPUSD,0.0
carry_real_rate__GBPUSD__threshold-0p25,carry_real_rate,GBPUSD,0.25
carry_real_rate__GBPUSD__threshold-0p5,carry_real_rate,GBPUSD,0.5
carry_real_rate__GBPUSD__threshold-0p75,carry_real_rate,GBPUSD,0.75
carry_real_rate__GBPUSD__threshold-1,carry_real_rate,GBPUSD,1.0
carry_real_rate__USDJPY__threshold-0,carry_real_rate,USDJPY,0.0
carry_real_rate__USDJPY__threshold-0p25,carry_real_rate,USDJPY,0.25
carry_real_rate__USDJPY__threshold-0p5,carry_real_rate,USDJPY,0.5
carry_real_rate__USDJPY__threshold-0p75,carry_real_rate,USDJPY,0.75
carry_real_rate__USDJPY__threshold-1,carry_real_rate,USDJPY,1.0
