candidate_id,family,symbol,threshold
carry_term_slope__AUDUSD__threshold-0,carry_term_slope,AUDUSD,0.0
carry_term_slope__AUDUSD__threshold-0p25,carry_term_slope,AUDUSD,0.25
carry_term_slope__AUDUSD__threshold-0p5,carry_term_slope,AUDUSD,0.5
carry_term_slope__AUDUSD__threshold-0p75,carry_term_slope,AUDUSD,0.75
carry_term_slope__AUDUSD__threshold-1,carry_term_slope,AUDUSD,1.0
carry_term_slope__EURUSD__threshold-0,carry_term_slope,EURUSD,0.0
carry_term_slope__EURUSD__threshold-0p25,carry_term_slope,EURUSD,0.25
carry_term_slope__EURUSD__threshold-0p5,carry_term_slope,EURUSD,0.5
carry_term_slope__EURUSD__threshold-0p75,carry_term_slope,EURUSD,0.75
carry_term_slope__EURUSD__threshold-1,carry_term_slope,EURUSD,1.0
carry_term_slope__GBPUSD__threshold-0,carry_term_slope,GBPUSD,0.0
carry_term_slope__GBPUSD__threshold-0p25,carry_term_slope,GBPUSD,0.25
carry_term_slope__GBPUSD__threshold-0p5,carry_term_slope,GBPUSD,0.5
carry_term_slope__GBPUSD__threshold-0p75,carry_term_slope,GBPUSD,0.75
carry_term_slope__GBPUSD__threshold-1,carry_term_slope,GBPUSD,1.0
carry_term_slope__USDJPY__threshold-0,carry_term_slope,USDJPY,0.0
carry_term_slope__USDJPY__threshold-0p25,carry_term_slope,USDJPY,0.25
carry_term_slope__USDJPY__threshold-0p5,carry_term_slope,USDJPY,0.5
carry_term_slope__USDJPY__threshold-0p75,carry_term_slope,USDJPY,0.75
carry_term_slope__USDJPY__threshold-1,carry_term_slope,USDJPY,1.0
