candidate_id,family,symbol,lookback,entry_z
carry_zscore__AUDUSD__entry_z-1__lookback-1440,carry_zscore,AUDUSD,1440,1.0
carry_zscore__AUDUSD__entry_z-1__lookback-2160,carry_zscore,AUDUSD,2160,1.0
carry_zscore__AUDUSD__entry_z-1__lookback-720,carry_zscore,AUDUSD,720,1.0
carry_zscore__AUDUSD__entry_z-1p5__lookback-1440,carry_zscore,AUDUSD,1440,1.5
carry_zscore__AUDUSD__entry_z-1p5__lookback-2160,carry_zscore,AUDUSD,2160,1.5
carry_zscore__AUDUSD__entry_z-1p5__lookback-720,carry_zscore,AUDUSD,720,1.5
carry_zscore__EURUSD__entry_z-1__lookback-1440,carry_zscore,EURUSD,1440,1.0
carry_zscore__EURUSD__entry_z-1__lookback-2160,carry_zscore,EURUSD,2160,1.0
carry_zscore__EURUSD__entry_z-1__lookback-720,carry_zscore,EURUSD,720,1.0
carry_zscore__EURUSD__entry_z-1p5__lookback-1440,carry_zscore,EURUSD,1440,1.5
carry_zscore__EURUSD__entry_z-1p5__lookback-2160,carry_zscore,EURUSD,2160,1.5
carry_zscore__EURUSD__entry_z-1p5__lookback-720,carry_zscore,EURUSD,720,1.5
carry_zscore__GBPUSD__entry_z-1__lookback-1440,carry_zscore,GBPUSD,1440,1.0
carry_zscore__GBPUSD__entry_z-1__lookback-2160,carry_zscore,GBPUSD,2160,1.0
carry_zscore__GBPUSD__entry_z-1__lookback-720,carry_zscore,GBPUSD,720,1.0
carry_zscore__GBPUSD__entry_z-1p5__lookback-1440,carry_zscore,GBPUSD,1440,1.5
carry_zscore__GBPUSD__entry_z-1p5__lookback-2160,carry_zscore,GBPUSD,2160,1.5
carry_zscore__GBPUSD__entry_z-1p5__lookback-720,carry_zscore,GBPUSD,720,1.5
carry_zscore__USDJPY__entry_z-1__lookback-1440,carry_zscore,USDJPY,1440,1.0
carry_zscore__USDJPY__entry_z-1__lookback-2160,carry_zscore,USDJPY,2160,1.0
carry_zscore__USDJPY__entry_z-1__lookback-720,carry_zscore,USDJPY,720,1.0
carry_zscore__USDJPY__entry_z-1p5__lookback-1440,carry_zscore,USDJPY,1440,1.5
carry_zscore__USDJPY__entry_z-1p5__lookback-2160,carry_zscore,USDJPY,2160,1.5
carry_zscore__USDJPY__entry_z-1p5__lookback-720,carry_zscore,USDJPY,720,1.5
