candidate_id,family,symbol,lookback,entry_z
mean_reversion__AUDUSD__entry_z-1p5__lookback-24,mean_reversion,AUDUSD,24,1.5
mean_reversion__AUDUSD__entry_z-1p5__lookback-48,mean_reversion,AUDUSD,48,1.5
mean_reversion__AUDUSD__entry_z-1p5__lookback-96,mean_reversion,AUDUSD,96,1.5
mean_reversion__AUDUSD__entry_z-2__lookback-24,mean_reversion,AUDUSD,24,2.0
mean_reversion__AUDUSD__entry_z-2__lookback-48,mean_reversion,AUDUSD,48,2.0
mean_reversion__AUDUSD__entry_z-2__lookback-96,mean_reversion,AUDUSD,96,2.0
mean_reversion__EURUSD__entry_z-1p5__lookback-24,mean_reversion,EURUSD,24,1.5
mean_reversion__EURUSD__entry_z-1p5__lookback-48,mean_reversion,EURUSD,48,1.5
mean_reversion__EURUSD__entry_z-1p5__lookback-96,mean_reversion,EURUSD,96,1.5
mean_reversion__EURUSD__entry_z-2__lookback-24,mean_reversion,EURUSD,24,2.0
mean_reversion__EURUSD__entry_z-2__lookback-48,mean_reversion,EURUSD,48,2.0
mean_reversion__EURUSD__entry_z-2__lookback-96,mean_reversion,EURUSD,96,2.0
mean_reversion__GBPUSD__entry_z-1p5__lookback-24,mean_reversion,GBPUSD,24,1.5
mean_reversion__GBPUSD__entry_z-1p5__lookback-48,mean_reversion,GBPUSD,48,1.5
mean_reversion__GBPUSD__entry_z-1p5__lookback-96,mean_reversion,GBPUSD,96,1.5
mean_reversion__GBPUSD__entry_z-2__lookback-24,mean_reversion,GBPUSD,24,2.0
mean_reversion__GBPUSD__entry_z-2__lookback-48,mean_reversion,GBPUSD,48,2.0
mean_reversion__GBPUSD__entry_z-2__lookback-96,mean_reversion,GBPUSD,96,2.0
mean_reversion__SAP__entry_z-1p5__lookback-24,mean_reversion,SAP,24,1.5
mean_reversion__SAP__entry_z-1p5__lookback-48,mean_reversion,SAP,48,1.5
mean_reversion__SAP__entry_z-1p5__lookback-96,mean_reversion,SAP,96,1.5
mean_reversion__SAP__entry_z-2__lookback-24,mean_reversion,SAP,24,2.0
mean_reversion__SAP__entry_z-2__lookback-48,mean_reversion,SAP,48,2.0
mean_reversion__SAP__entry_z-2__lookback-96,mean_reversion,SAP,96,2.0
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24,1.5
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,48,1.5
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96,1.5
mean_reversion__USDJPY__entry_z-2__lookback-24,mean_reversion,USDJPY,24,2.0
mean_reversion__USDJPY__entry_z-2__lookback-48,mean_reversion,USDJPY,48,2.0
mean_reversion__USDJPY__entry_z-2__lookback-96,mean_reversion,USDJPY,96,2.0
mean_reversion__VOD__entry_z-1p5__lookback-24,mean_reversion,VOD,24,1.5
mean_reversion__VOD__entry_z-1p5__lookback-48,mean_reversion,VOD,48,1.5
mean_reversion__VOD__entry_z-1p5__lookback-96,mean_reversion,VOD,96,1.5
mean_reversion__VOD__entry_z-2__lookback-24,mean_reversion,VOD,24,2.0
mean_reversion__VOD__entry_z-2__lookback-48,mean_reversion,VOD,48,2.0
mean_reversion__VOD__entry_z-2__lookback-96,mean_reversion,VOD,96,2.0
mean_reversion__XAGUSD__entry_z-1p5__lookback-24,mean_reversion,XAGUSD,24,1.5
mean_reversion__XAGUSD__entry_z-1p5__lookback-48,mean_reversion,XAGUSD,48,1.5
mean_reversion__XAGUSD__entry_z-1p5__lookback-96,mean_reversion,XAGUSD,96,1.5
mean_reversion__XAGUSD__entry_z-2__lookback-24,mean_reversion,XAGUSD,24,2.0
mean_reversion__XAGUSD__entry_z-2__lookback-48,mean_reversion,XAGUSD,48,2.0
mean_reversion__XAGUSD__entry_z-2__lookback-96,mean_reversion,XAGUSD,96,2.0
mean_reversion__XAUUSD__entry_z-1p5__lookback-24,mean_reversion,XAUUSD,24,1.5
mean_reversion__XAUUSD__entry_z-1p5__lookback-48,mean_reversion,XAUUSD,48,1.5
mean_reversion__XAUUSD__entry_z-1p5__lookback-96,mean_reversion,XAUUSD,96,1.5
mean_reversion__XAUUSD__entry_z-2__lookback-24,mean_reversion,XAUUSD,24,2.0
mean_reversion__XAUUSD__entry_z-2__lookback-48,mean_reversion,XAUUSD,48,2.0
mean_reversion__XAUUSD__entry_z-2__lookback-96,mean_reversion,XAUUSD,96,2.0
