candidate_id,family,symbol,window,entry_band
mean_reversion_rsi__AUDUSD__entry_band-15__window-14,mean_reversion_rsi,AUDUSD,14,15
mean_reversion_rsi__AUDUSD__entry_band-15__window-24,mean_reversion_rsi,AUDUSD,24,15
mean_reversion_rsi__AUDUSD__entry_band-15__window-48,mean_reversion_rsi,AUDUSD,48,15
mean_reversion_rsi__AUDUSD__entry_band-20__window-14,mean_reversion_rsi,AUDUSD,14,20
mean_reversion_rsi__AUDUSD__entry_band-20__window-24,mean_reversion_rsi,AUDUSD,24,20
mean_reversion_rsi__AUDUSD__entry_band-20__window-48,mean_reversion_rsi,AUDUSD,48,20
mean_reversion_rsi__AUDUSD__entry_band-30__window-14,mean_reversion_rsi,AUDUSD,14,30
mean_reversion_rsi__AUDUSD__entry_band-30__window-24,mean_reversion_rsi,AUDUSD,24,30
mean_reversion_rsi__AUDUSD__entry_band-30__window-48,mean_reversion_rsi,AUDUSD,48,30
mean_reversion_rsi__EURUSD__entry_band-15__window-14,mean_reversion_rsi,EURUSD,14,15
mean_reversion_rsi__EURUSD__entry_band-15__window-24,mean_reversion_rsi,EURUSD,24,15
mean_reversion_rsi__EURUSD__entry_band-15__window-48,mean_reversion_rsi,EURUSD,48,15
mean_reversion_rsi__EURUSD__entry_band-20__window-14,mean_reversion_rsi,EURUSD,14,20
mean_reversion_rsi__EURUSD__entry_band-20__window-24,mean_reversion_rsi,EURUSD,24,20
mean_reversion_rsi__EURUSD__entry_band-20__window-48,mean_reversion_rsi,EURUSD,48,20
mean_reversion_rsi__EURUSD__entry_band-30__window-14,mean_reversion_rsi,EURUSD,14,30
mean_reversion_rsi__EURUSD__entry_band-30__window-24,mean_reversion_rsi,EURUSD,24,30
mean_reversion_rsi__EURUSD__entry_band-30__window-48,mean_reversion_rsi,EURUSD,48,30
mean_reversion_rsi__GBPUSD__entry_band-15__window-14,mean_reversion_rsi,GBPUSD,14,15
mean_reversion_rsi__GBPUSD__entry_band-15__window-24,mean_reversion_rsi,GBPUSD,24,15
mean_reversion_rsi__GBPUSD__entry_band-15__window-48,mean_reversion_rsi,GBPUSD,48,15
mean_reversion_rsi__GBPUSD__entry_band-20__window-14,mean_reversion_rsi,GBPUSD,14,20
mean_reversion_rsi__GBPUSD__entry_band-20__window-24,mean_reversion_rsi,GBPUSD,24,20
mean_reversion_rsi__GBPUSD__entry_band-20__window-48,mean_reversion_rsi,GBPUSD,48,20
mean_reversion_rsi__GBPUSD__entry_band-30__window-14,mean_reversion_rsi,GBPUSD,14,30
mean_reversion_rsi__GBPUSD__entry_band-30__window-24,mean_reversion_rsi,GBPUSD,24,30
mean_reversion_rsi__GBPUSD__entry_band-30__window-48,mean_reversion_rsi,GBPUSD,48,30
mean_reversion_rsi__SAP__entry_band-15__window-14,mean_reversion_rsi,SAP,14,15
mean_reversion_rsi__SAP__entry_band-15__window-24,mean_reversion_rsi,SAP,24,15
mean_reversion_rsi__SAP__entry_band-15__window-48,mean_reversion_rsi,SAP,48,15
mean_reversion_rsi__SAP__entry_band-20__window-14,mean_reversion_rsi,SAP,14,20
mean_reversion_rsi__SAP__entry_band-20__window-24,mean_reversion_rsi,SAP,24,20
mean_reversion_rsi__SAP__entry_band-20__window-48,mean_reversion_rsi,SAP,48,20
mean_reversion_rsi__SAP__entry_band-30__window-14,mean_reversion_rsi,SAP,14,30
mean_reversion_rsi__SAP__entry_band-30__window-24,mean_reversion_rsi,SAP,24,30
mean_reversion_rsi__SAP__entry_band-30__window-48,mean_reversion_rsi,SAP,48,30
mean_reversion_rsi__USDJPY__entry_band-15__window-14,mean_reversion_rsi,USDJPY,14,15
