candidate_id,family,symbol,lookback,entry_z
mean_reversion_vwap__SAP__entry_z-1p5__lookback-24,mean_reversion_vwap,SAP,24,1.5
mean_reversion_vwap__SAP__entry_z-1p5__lookback-48,mean_reversion_vwap,SAP,48,1.5
mean_reversion_vwap__SAP__entry_z-1p5__lookback-96,mean_reversion_vwap,SAP,96,1.5
mean_reversion_vwap__SAP__entry_z-2__lookback-24,mean_reversion_vwap,SAP,24,2.0
mean_reversion_vwap__SAP__entry_z-2__lookback-48,mean_reversion_vwap,SAP,48,2.0
mean_reversion_vwap__SAP__entry_z-2__lookback-96,mean_reversion_vwap,SAP,96,2.0
mean_reversion_vwap__VOD__entry_z-1p5__lookback-24,mean_reversion_vwap,VOD,24,1.5
mean_reversion_vwap__VOD__entry_z-1p5__lookback-48,mean_reversion_vwap,VOD,48,1.5
mean_reversion_vwap__VOD__entry_z-1p5__lookback-96,mean_reversion_vwap,VOD,96,1.5
mean_reversion_vwap__VOD__entry_z-2__lookback-24,mean_reversion_vwap,VOD,24,2.0
mean_reversion_vwap__VOD__entry_z-2__lookback-48,mean_reversion_vwap,VOD,48,2.0
mean_reversion_vwap__VOD__entry_z-2__lookback-96,mean_reversion_vwap,VOD,96,2.0
