candidate_id,family,symbol,lookback,threshold
momentum__AUDUSD__lookback-24__threshold-0,momentum,AUDUSD,24,0.0
momentum__AUDUSD__lookback-24__threshold-0p01,momentum,AUDUSD,24,0.01
momentum__AUDUSD__lookback-36__threshold-0,momentum,AUDUSD,36,0.0
momentum__AUDUSD__lookback-36__threshold-0p01,momentum,AUDUSD,36,0.01
momentum__AUDUSD__lookback-48__threshold-0,momentum,AUDUSD,48,0.0
momentum__AUDUSD__lookback-48__threshold-0p01,momentum,AUDUSD,48,0.01
momentum__AUDUSD__lookback-96__threshold-0,momentum,AUDUSD,96,0.0
momentum__AUDUSD__lookback-96__threshold-0p01,momentum,AUDUSD,96,0.01
momentum__EURUSD__lookback-24__threshold-0,momentum,EURUSD,24,0.0
momentum__EURUSD__lookback-24__threshold-0p01,momentum,EURUSD,24,0.01
momentum__EURUSD__lookback-36__threshold-0,momentum,EURUSD,36,0.0
momentum__EURUSD__lookback-36__threshold-0p01,momentum,EURUSD,36,0.01
momentum__EURUSD__lookback-48__threshold-0,momentum,EURUSD,48,0.0
momentum__EURUSD__lookback-48__threshold-0p01,momentum,EURUSD,48,0.01
momentum__EURUSD__lookback-96__threshold-0,momentum,EURUSD,96,0.0
momentum__EURUSD__lookback-96__threshold-0p01,momentum,EURUSD,96,0.01
momentum__GBPUSD__lookback-24__threshold-0,momentum,GBPUSD,24,0.0
momentum__GBPUSD__lookback-24__threshold-0p01,momentum,GBPUSD,24,0.01
momentum__GBPUSD__lookback-36__threshold-0,momentum,GBPUSD,36,0.0
momentum__GBPUSD__lookback-36__threshold-0p01,momentum,GBPUSD,36,0.01
momentum__GBPUSD__lookback-48__threshold-0,momentum,GBPUSD,48,0.0
momentum__GBPUSD__lookback-48__threshold-0p01,momentum,GBPUSD,48,0.01
momentum__GBPUSD__lookback-96__threshold-0,momentum,GBPUSD,96,0.0
momentum__GBPUSD__lookback-96__threshold-0p01,momentum,GBPUSD,96,0.01
momentum__SAP__lookback-24__threshold-0,momentum,SAP,24,0.0
momentum__SAP__lookback-24__threshold-0p01,momentum,SAP,24,0.01
momentum__SAP__lookback-36__threshold-0,momentum,SAP,36,0.0
momentum__SAP__lookback-36__threshold-0p01,momentum,SAP,36,0.01
momentum__SAP__lookback-48__threshold-0,momentum,SAP,48,0.0
momentum__SAP__lookback-48__threshold-0p01,momentum,SAP,48,0.01
momentum__SAP__lookback-96__threshold-0,momentum,SAP,96,0.0
momentum__SAP__lookback-96__threshold-0p01,momentum,SAP,96,0.01
momentum__USDJPY__lookback-24__threshold-0,momentum,USDJPY,24,0.0
momentum__USDJPY__lookback-24__threshold-0p01,momentum,USDJPY,24,0.01
momentum__USDJPY__lookback-36__threshold-0,momentum,USDJPY,36,0.0
momentum__USDJPY__lookback-36__threshold-0p01,momentum,USDJPY,36,0.01
momentum__USDJPY__lookback-48__threshold-0,momentum,USDJPY,48,0.0
momentum__USDJPY__lookback-48__threshold-0p01,momentum,USDJPY,48,0.01
momentum__USDJPY__lookback-96__threshold-0,momentum,USDJPY,96,0.0
momentum__USDJPY__lookback-96__threshold-0p01,momentum,USDJPY,96,0.01
momentum__VOD__lookback-24__threshold-0,momentum,VOD,24,0.0
momentum__VOD__lookback-24__threshold-0p01,momentum,VOD,24,0.01
momentum__VOD__lookback-36__threshold-0,momentum,VOD,36,0.0
momentum__VOD__lookback-36__threshold-0p01,momentum,VOD,36,0.01
momentum__VOD__lookback-48__threshold-0,momentum,VOD,48,0.0
momentum__VOD__lookback-48__threshold-0p01,momentum,VOD,48,0.01
momentum__VOD__lookback-96__threshold-0,momentum,VOD,96,0.0
momentum__VOD__lookback-96__threshold-0p01,momentum,VOD,96,0.01
momentum__XAGUSD__lookback-24__threshold-0,momentum,XAGUSD,24,0.0
momentum__XAGUSD__lookback-24__threshold-0p01,momentum,XAGUSD,24,0.01
momentum__XAGUSD__lookback-36__threshold-0,momentum,XAGUSD,36,0.0
momentum__XAGUSD__lookback-36__threshold-0p01,momentum,XAGUSD,36,0.01
momentum__XAGUSD__lookback-48__threshold-0,momentum,XAGUSD,48,0.0
momentum__XAGUSD__lookback-48__threshold-0p01,momentum,XAGUSD,48,0.01
momentum__XAGUSD__lookback-96__threshold-0,momentum,XAGUSD,96,0.0
momentum__XAGUSD__lookback-96__threshold-0p01,momentum,XAGUSD,96,0.01
momentum__XAUUSD__lookback-24__threshold-0,momentum,XAUUSD,24,0.0
momentum__XAUUSD__lookback-24__threshold-0p01,momentum,XAUUSD,24,0.01
momentum__XAUUSD__lookback-36__threshold-0,momentum,XAUUSD,36,0.0
momentum__XAUUSD__lookback-36__threshold-0p01,momentum,XAUUSD,36,0.01
momentum__XAUUSD__lookback-48__threshold-0,momentum,XAUUSD,48,0.0
momentum__XAUUSD__lookback-48__threshold-0p01,momentum,XAUUSD,48,0.01
momentum__XAUUSD__lookback-96__threshold-0,momentum,XAUUSD,96,0.0
momentum__XAUUSD__lookback-96__threshold-0p01,momentum,XAUUSD,96,0.01
