candidate_id,family,symbol,lookback,threshold
momentum_acceleration__AUDUSD__lookback-24__threshold-0,momentum_acceleration,AUDUSD,24,0.0
momentum_acceleration__AUDUSD__lookback-24__threshold-0p005,momentum_acceleration,AUDUSD,24,0.005
momentum_acceleration__AUDUSD__lookback-24__threshold-0p01,momentum_acceleration,AUDUSD,24,0.01
momentum_acceleration__AUDUSD__lookback-48__threshold-0,momentum_acceleration,AUDUSD,48,0.0
momentum_acceleration__AUDUSD__lookback-48__threshold-0p005,momentum_acceleration,AUDUSD,48,0.005
momentum_acceleration__AUDUSD__lookback-48__threshold-0p01,momentum_acceleration,AUDUSD,48,0.01
momentum_acceleration__AUDUSD__lookback-96__threshold-0,momentum_acceleration,AUDUSD,96,0.0
momentum_acceleration__AUDUSD__lookback-96__threshold-0p005,momentum_acceleration,AUDUSD,96,0.005
momentum_acceleration__AUDUSD__lookback-96__threshold-0p01,momentum_acceleration,AUDUSD,96,0.01
momentum_acceleration__EURUSD__lookback-24__threshold-0,momentum_acceleration,EURUSD,24,0.0
momentum_acceleration__EURUSD__lookback-24__threshold-0p005,momentum_acceleration,EURUSD,24,0.005
momentum_acceleration__EURUSD__lookback-24__threshold-0p01,momentum_acceleration,EURUSD,24,0.01
momentum_acceleration__EURUSD__lookback-48__threshold-0,momentum_acceleration,EURUSD,48,0.0
momentum_acceleration__EURUSD__lookback-48__threshold-0p005,momentum_acceleration,EURUSD,48,0.005
momentum_acceleration__EURUSD__lookback-48__threshold-0p01,momentum_acceleration,EURUSD,48,0.01
momentum_acceleration__EURUSD__lookback-96__threshold-0,momentum_acceleration,EURUSD,96,0.0
momentum_acceleration__EURUSD__lookback-96__threshold-0p005,momentum_acceleration,EURUSD,96,0.005
momentum_acceleration__EURUSD__lookback-96__threshold-0p01,momentum_acceleration,EURUSD,96,0.01
momentum_acceleration__GBPUSD__lookback-24__threshold-0,momentum_acceleration,GBPUSD,24,0.0
momentum_acceleration__GBPUSD__lookback-24__threshold-0p005,momentum_acceleration,GBPUSD,24,0.005
momentum_acceleration__GBPUSD__lookback-24__threshold-0p01,momentum_acceleration,GBPUSD,24,0.01
momentum_acceleration__GBPUSD__lookback-48__threshold-0,momentum_acceleration,GBPUSD,48,0.0
momentum_acceleration__GBPUSD__lookback-48__threshold-0p005,momentum_acceleration,GBPUSD,48,0.005
momentum_acceleration__GBPUSD__lookback-48__threshold-0p01,momentum_acceleration,GBPUSD,48,0.01
momentum_acceleration__GBPUSD__lookback-96__threshold-0,momentum_acceleration,GBPUSD,96,0.0
momentum_acceleration__GBPUSD__lookback-96__threshold-0p005,momentum_acceleration,GBPUSD,96,0.005
momentum_acceleration__GBPUSD__lookback-96__threshold-0p01,momentum_acceleration,GBPUSD,96,0.01
