candidate_id,family,symbol,threshold,span
momentum_ewma__AUDUSD__span-240__threshold-0,momentum_ewma,AUDUSD,0.0,240
momentum_ewma__AUDUSD__span-240__threshold-0p0002,momentum_ewma,AUDUSD,0.0002,240
momentum_ewma__AUDUSD__span-24__threshold-0,momentum_ewma,AUDUSD,0.0,24
momentum_ewma__AUDUSD__span-24__threshold-0p0002,momentum_ewma,AUDUSD,0.0002,24
momentum_ewma__AUDUSD__span-96__threshold-0,momentum_ewma,AUDUSD,0.0,96
momentum_ewma__AUDUSD__span-96__threshold-0p0002,momentum_ewma,AUDUSD,0.0002,96
momentum_ewma__EURUSD__span-240__threshold-0,momentum_ewma,EURUSD,0.0,240
momentum_ewma__EURUSD__span-240__threshold-0p0002,momentum_ewma,EURUSD,0.0002,240
momentum_ewma__EURUSD__span-24__threshold-0,momentum_ewma,EURUSD,0.0,24
momentum_ewma__EURUSD__span-24__threshold-0p0002,momentum_ewma,EURUSD,0.0002,24
momentum_ewma__EURUSD__span-96__threshold-0,momentum_ewma,EURUSD,0.0,96
momentum_ewma__EURUSD__span-96__threshold-0p0002,momentum_ewma,EURUSD,0.0002,96
momentum_ewma__GBPUSD__span-240__threshold-0,momentum_ewma,GBPUSD,0.0,240
momentum_ewma__GBPUSD__span-240__threshold-0p0002,momentum_ewma,GBPUSD,0.0002,240
momentum_ewma__GBPUSD__span-24__threshold-0,momentum_ewma,GBPUSD,0.0,24
momentum_ewma__GBPUSD__span-24__threshold-0p0002,momentum_ewma,GBPUSD,0.0002,24
momentum_ewma__GBPUSD__span-96__threshold-0,momentum_ewma,GBPUSD,0.0,96
momentum_ewma__GBPUSD__span-96__threshold-0p0002,momentum_ewma,GBPUSD,0.0002,96
momentum_ewma__SAP__span-240__threshold-0,momentum_ewma,SAP,0.0,240
momentum_ewma__SAP__span-240__threshold-0p0002,momentum_ewma,SAP,0.0002,240
momentum_ewma__SAP__span-24__threshold-0,momentum_ewma,SAP,0.0,24
momentum_ewma__SAP__span-24__threshold-0p0002,momentum_ewma,SAP,0.0002,24
momentum_ewma__SAP__span-96__threshold-0,momentum_ewma,SAP,0.0,96
momentum_ewma__SAP__span-96__threshold-0p0002,momentum_ewma,SAP,0.0002,96
momentum_ewma__USDJPY__span-240__threshold-0,momentum_ewma,USDJPY,0.0,240
momentum_ewma__USDJPY__span-240__threshold-0p0002,momentum_ewma,USDJPY,0.0002,240
momentum_ewma__USDJPY__span-24__threshold-0,momentum_ewma,USDJPY,0.0,24
momentum_ewma__USDJPY__span-24__threshold-0p0002,momentum_ewma,USDJPY,0.0002,24
momentum_ewma__USDJPY__span-96__threshold-0,momentum_ewma,USDJPY,0.0,96
momentum_ewma__USDJPY__span-96__threshold-0p0002,momentum_ewma,USDJPY,0.0002,96
momentum_ewma__VOD__span-240__threshold-0,momentum_ewma,VOD,0.0,240
momentum_ewma__VOD__span-240__threshold-0p0002,momentum_ewma,VOD,0.0002,240
momentum_ewma__VOD__span-24__threshold-0,momentum_ewma,VOD,0.0,24
momentum_ewma__VOD__span-24__threshold-0p0002,momentum_ewma,VOD,0.0002,24
momentum_ewma__VOD__span-96__threshold-0,momentum_ewma,VOD,0.0,96
momentum_ewma__VOD__span-96__threshold-0p0002,momentum_ewma,VOD,0.0002,96
momentum_ewma__XAGUSD__span-240__threshold-0,momentum_ewma,XAGUSD,0.0,240
momentum_ewma__XAGUSD__span-240__threshold-0p0002,momentum_ewma,XAGUSD,0.0002,240
momentum_ewma__XAGUSD__span-24__threshold-0,momentum_ewma,XAGUSD,0.0,24
momentum_ewma__XAGUSD__span-24__threshold-0p0002,momentum_ewma,XAGUSD,0.0002,24
momentum_ewma__XAGUSD__span-96__threshold-0,momentum_ewma,XAGUSD,0.0,96
momentum_ewma__XAGUSD__span-96__threshold-0p0002,momentum_ewma,XAGUSD,0.0002,96
momentum_ewma__XAUUSD__span-240__threshold-0,momentum_ewma,XAUUSD,0.0,240
momentum_ewma__XAUUSD__span-240__threshold-0p0002,momentum_ewma,XAUUSD,0.0002,240
momentum_ewma__XAUUSD__span-24__threshold-0,momentum_ewma,XAUUSD,0.0,24
momentum_ewma__XAUUSD__span-24__threshold-0p0002,momentum_ewma,XAUUSD,0.0002,24
momentum_ewma__XAUUSD__span-96__threshold-0,momentum_ewma,XAUUSD,0.0,96
momentum_ewma__XAUUSD__span-96__threshold-0p0002,momentum_ewma,XAUUSD,0.0002,96
