candidate_id,family,symbol,fast_span,slow_span,signal_span,threshold
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-18__slow_span-104__threshold-0,momentum_macd_histogram,AUDUSD,12,104,18,0.0
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-18__slow_span-104__threshold-0p0005,momentum_macd_histogram,AUDUSD,12,104,18,0.0005
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-18__slow_span-26__threshold-0,momentum_macd_histogram,AUDUSD,12,26,18,0.0
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-18__slow_span-26__threshold-0p0005,momentum_macd_histogram,AUDUSD,12,26,18,0.0005
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-18__slow_span-52__threshold-0,momentum_macd_histogram,AUDUSD,12,52,18,0.0
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-18__slow_span-52__threshold-0p0005,momentum_macd_histogram,AUDUSD,12,52,18,0.0005
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-9__slow_span-104__threshold-0,momentum_macd_histogram,AUDUSD,12,104,9,0.0
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-9__slow_span-104__threshold-0p0005,momentum_macd_histogram,AUDUSD,12,104,9,0.0005
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-9__slow_span-26__threshold-0,momentum_macd_histogram,AUDUSD,12,26,9,0.0
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-9__slow_span-26__threshold-0p0005,momentum_macd_histogram,AUDUSD,12,26,9,0.0005
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-9__slow_span-52__threshold-0,momentum_macd_histogram,AUDUSD,12,52,9,0.0
momentum_macd_histogram__AUDUSD__fast_span-12__signal_span-9__slow_span-52__threshold-0p0005,momentum_macd_histogram,AUDUSD,12,52,9,0.0005
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-18__slow_span-104__threshold-0,momentum_macd_histogram,AUDUSD,24,104,18,0.0
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-18__slow_span-104__threshold-0p0005,momentum_macd_histogram,AUDUSD,24,104,18,0.0005
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-18__slow_span-26__threshold-0,momentum_macd_histogram,AUDUSD,24,26,18,0.0
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-18__slow_span-26__threshold-0p0005,momentum_macd_histogram,AUDUSD,24,26,18,0.0005
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-18__slow_span-52__threshold-0,momentum_macd_histogram,AUDUSD,24,52,18,0.0
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-18__slow_span-52__threshold-0p0005,momentum_macd_histogram,AUDUSD,24,52,18,0.0005
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-9__slow_span-104__threshold-0,momentum_macd_histogram,AUDUSD,24,104,9,0.0
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-9__slow_span-104__threshold-0p0005,momentum_macd_histogram,AUDUSD,24,104,9,0.0005
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-9__slow_span-26__threshold-0,momentum_macd_histogram,AUDUSD,24,26,9,0.0
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-9__slow_span-26__threshold-0p0005,momentum_macd_histogram,AUDUSD,24,26,9,0.0005
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-9__slow_span-52__threshold-0,momentum_macd_histogram,AUDUSD,24,52,9,0.0
momentum_macd_histogram__AUDUSD__fast_span-24__signal_span-9__slow_span-52__threshold-0p0005,momentum_macd_histogram,AUDUSD,24,52,9,0.0005
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-18__slow_span-104__threshold-0,momentum_macd_histogram,EURUSD,12,104,18,0.0
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-18__slow_span-104__threshold-0p0005,momentum_macd_histogram,EURUSD,12,104,18,0.0005
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-18__slow_span-26__threshold-0,momentum_macd_histogram,EURUSD,12,26,18,0.0
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-18__slow_span-26__threshold-0p0005,momentum_macd_histogram,EURUSD,12,26,18,0.0005
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-18__slow_span-52__threshold-0,momentum_macd_histogram,EURUSD,12,52,18,0.0
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-18__slow_span-52__threshold-0p0005,momentum_macd_histogram,EURUSD,12,52,18,0.0005
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-9__slow_span-104__threshold-0,momentum_macd_histogram,EURUSD,12,104,9,0.0
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-9__slow_span-104__threshold-0p0005,momentum_macd_histogram,EURUSD,12,104,9,0.0005
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-9__slow_span-26__threshold-0,momentum_macd_histogram,EURUSD,12,26,9,0.0
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-9__slow_span-26__threshold-0p0005,momentum_macd_histogram,EURUSD,12,26,9,0.0005
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-9__slow_span-52__threshold-0,momentum_macd_histogram,EURUSD,12,52,9,0.0
momentum_macd_histogram__EURUSD__fast_span-12__signal_span-9__slow_span-52__threshold-0p0005,momentum_macd_histogram,EURUSD,12,52,9,0.0005
momentum_macd_histogram__EURUSD__fast_span-24__signal_span-18__slow_span-104__threshold-0,momentum_macd_histogram,EURUSD,24,104,18,0.0
momentum_macd_histogram__EURUSD__fast_span-24__signal_span-18__slow_span-104__threshold-0p0005,momentum_macd_histogram,EURUSD,24,104,18,0.0005
momentum_macd_histogram__EURUSD__fast_span-24__signal_span-18__slow_span-26__threshold-0,momentum_macd_histogram,EURUSD,24,26,18,0.0
momentum_macd_histogram__EURUSD__fast_span-24__signal_span-18__slow_span-26__threshold-0p0005,momentum_macd_histogram,EURUSD,24,26,18,0.0005
momentum_macd_histogram__EURUSD__fast_span-24__signal_span-18__slow_span-52__threshold-0,momentum_macd_histogram,EURUSD,24,52,18,0.0
