candidate_id,family,symbol,window,threshold
momentum_risk_adjusted__AUDUSD__threshold-0__window-24,momentum_risk_adjusted,AUDUSD,24,0.0
momentum_risk_adjusted__AUDUSD__threshold-0__window-240,momentum_risk_adjusted,AUDUSD,240,0.0
momentum_risk_adjusted__AUDUSD__threshold-0__window-96,momentum_risk_adjusted,AUDUSD,96,0.0
momentum_risk_adjusted__AUDUSD__threshold-0p05__window-24,momentum_risk_adjusted,AUDUSD,24,0.05
momentum_risk_adjusted__AUDUSD__threshold-0p05__window-240,momentum_risk_adjusted,AUDUSD,240,0.05
momentum_risk_adjusted__AUDUSD__threshold-0p05__window-96,momentum_risk_adjusted,AUDUSD,96,0.05
momentum_risk_adjusted__EURUSD__threshold-0__window-24,momentum_risk_adjusted,EURUSD,24,0.0
momentum_risk_adjusted__EURUSD__threshold-0__window-240,momentum_risk_adjusted,EURUSD,240,0.0
momentum_risk_adjusted__EURUSD__threshold-0__window-96,momentum_risk_adjusted,EURUSD,96,0.0
momentum_risk_adjusted__EURUSD__threshold-0p05__window-24,momentum_risk_adjusted,EURUSD,24,0.05
momentum_risk_adjusted__EURUSD__threshold-0p05__window-240,momentum_risk_adjusted,EURUSD,240,0.05
momentum_risk_adjusted__EURUSD__threshold-0p05__window-96,momentum_risk_adjusted,EURUSD,96,0.05
momentum_risk_adjusted__GBPUSD__threshold-0__window-24,momentum_risk_adjusted,GBPUSD,24,0.0
momentum_risk_adjusted__GBPUSD__threshold-0__window-240,momentum_risk_adjusted,GBPUSD,240,0.0
momentum_risk_adjusted__GBPUSD__threshold-0__window-96,momentum_risk_adjusted,GBPUSD,96,0.0
momentum_risk_adjusted__GBPUSD__threshold-0p05__window-24,momentum_risk_adjusted,GBPUSD,24,0.05
momentum_risk_adjusted__GBPUSD__threshold-0p05__window-240,momentum_risk_adjusted,GBPUSD,240,0.05
momentum_risk_adjusted__GBPUSD__threshold-0p05__window-96,momentum_risk_adjusted,GBPUSD,96,0.05
momentum_risk_adjusted__SAP__threshold-0__window-24,momentum_risk_adjusted,SAP,24,0.0
momentum_risk_adjusted__SAP__threshold-0__window-240,momentum_risk_adjusted,SAP,240,0.0
momentum_risk_adjusted__SAP__threshold-0__window-96,momentum_risk_adjusted,SAP,96,0.0
momentum_risk_adjusted__SAP__threshold-0p05__window-24,momentum_risk_adjusted,SAP,24,0.05
momentum_risk_adjusted__SAP__threshold-0p05__window-240,momentum_risk_adjusted,SAP,240,0.05
momentum_risk_adjusted__SAP__threshold-0p05__window-96,momentum_risk_adjusted,SAP,96,0.05
momentum_risk_adjusted__USDJPY__threshold-0__window-24,momentum_risk_adjusted,USDJPY,24,0.0
momentum_risk_adjusted__USDJPY__threshold-0__window-240,momentum_risk_adjusted,USDJPY,240,0.0
momentum_risk_adjusted__USDJPY__threshold-0__window-96,momentum_risk_adjusted,USDJPY,96,0.0
momentum_risk_adjusted__USDJPY__threshold-0p05__window-24,momentum_risk_adjusted,USDJPY,24,0.05
momentum_risk_adjusted__USDJPY__threshold-0p05__window-240,momentum_risk_adjusted,USDJPY,240,0.05
momentum_risk_adjusted__USDJPY__threshold-0p05__window-96,momentum_risk_adjusted,USDJPY,96,0.05
momentum_risk_adjusted__VOD__threshold-0__window-24,momentum_risk_adjusted,VOD,24,0.0
momentum_risk_adjusted__VOD__threshold-0__window-240,momentum_risk_adjusted,VOD,240,0.0
momentum_risk_adjusted__VOD__threshold-0__window-96,momentum_risk_adjusted,VOD,96,0.0
momentum_risk_adjusted__VOD__threshold-0p05__window-24,momentum_risk_adjusted,VOD,24,0.05
momentum_risk_adjusted__VOD__threshold-0p05__window-240,momentum_risk_adjusted,VOD,240,0.05
momentum_risk_adjusted__VOD__threshold-0p05__window-96,momentum_risk_adjusted,VOD,96,0.05
momentum_risk_adjusted__XAGUSD__threshold-0__window-24,momentum_risk_adjusted,XAGUSD,24,0.0
momentum_risk_adjusted__XAGUSD__threshold-0__window-240,momentum_risk_adjusted,XAGUSD,240,0.0
momentum_risk_adjusted__XAGUSD__threshold-0__window-96,momentum_risk_adjusted,XAGUSD,96,0.0
momentum_risk_adjusted__XAGUSD__threshold-0p05__window-24,momentum_risk_adjusted,XAGUSD,24,0.05
momentum_risk_adjusted__XAGUSD__threshold-0p05__window-240,momentum_risk_adjusted,XAGUSD,240,0.05
momentum_risk_adjusted__XAGUSD__threshold-0p05__window-96,momentum_risk_adjusted,XAGUSD,96,0.05
momentum_risk_adjusted__XAUUSD__threshold-0__window-24,momentum_risk_adjusted,XAUUSD,24,0.0
momentum_risk_adjusted__XAUUSD__threshold-0__window-240,momentum_risk_adjusted,XAUUSD,240,0.0
momentum_risk_adjusted__XAUUSD__threshold-0__window-96,momentum_risk_adjusted,XAUUSD,96,0.0
momentum_risk_adjusted__XAUUSD__threshold-0p05__window-24,momentum_risk_adjusted,XAUUSD,24,0.05
momentum_risk_adjusted__XAUUSD__threshold-0p05__window-240,momentum_risk_adjusted,XAUUSD,240,0.05
momentum_risk_adjusted__XAUUSD__threshold-0p05__window-96,momentum_risk_adjusted,XAUUSD,96,0.05
