candidate_id,family,symbol,entry_z,exit_z,corr_window
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-168__entry_z-1p5__exit_z-0,stat_arb_correlation_breakdown,AUDUSD_VOD,1.5,0.0,168
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-168__entry_z-1p5__exit_z-0p5,stat_arb_correlation_breakdown,AUDUSD_VOD,1.5,0.5,168
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-168__entry_z-2__exit_z-0,stat_arb_correlation_breakdown,AUDUSD_VOD,2.0,0.0,168
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-168__entry_z-2__exit_z-0p5,stat_arb_correlation_breakdown,AUDUSD_VOD,2.0,0.5,168
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-48__entry_z-1p5__exit_z-0,stat_arb_correlation_breakdown,AUDUSD_VOD,1.5,0.0,48
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-48__entry_z-1p5__exit_z-0p5,stat_arb_correlation_breakdown,AUDUSD_VOD,1.5,0.5,48
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-48__entry_z-2__exit_z-0,stat_arb_correlation_breakdown,AUDUSD_VOD,2.0,0.0,48
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-48__entry_z-2__exit_z-0p5,stat_arb_correlation_breakdown,AUDUSD_VOD,2.0,0.5,48
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-96__entry_z-1p5__exit_z-0,stat_arb_correlation_breakdown,AUDUSD_VOD,1.5,0.0,96
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-96__entry_z-1p5__exit_z-0p5,stat_arb_correlation_breakdown,AUDUSD_VOD,1.5,0.5,96
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-96__entry_z-2__exit_z-0,stat_arb_correlation_breakdown,AUDUSD_VOD,2.0,0.0,96
stat_arb_correlation_breakdown__AUDUSD_VOD__corr_window-96__entry_z-2__exit_z-0p5,stat_arb_correlation_breakdown,AUDUSD_VOD,2.0,0.5,96
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-168__entry_z-1p5__exit_z-0,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,1.5,0.0,168
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-168__entry_z-1p5__exit_z-0p5,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,1.5,0.5,168
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-168__entry_z-2__exit_z-0,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,2.0,0.0,168
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-168__entry_z-2__exit_z-0p5,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,2.0,0.5,168
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-48__entry_z-1p5__exit_z-0,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,1.5,0.0,48
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-48__entry_z-1p5__exit_z-0p5,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,1.5,0.5,48
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-48__entry_z-2__exit_z-0,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,2.0,0.0,48
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-48__entry_z-2__exit_z-0p5,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,2.0,0.5,48
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-96__entry_z-1p5__exit_z-0,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,1.5,0.0,96
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-96__entry_z-1p5__exit_z-0p5,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,1.5,0.5,96
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-96__entry_z-2__exit_z-0,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,2.0,0.0,96
stat_arb_correlation_breakdown__XAGUSD_XAUUSD__corr_window-96__entry_z-2__exit_z-0p5,stat_arb_correlation_breakdown,XAGUSD_XAUUSD,2.0,0.5,96
