candidate_id,family,symbol,fast_span,slow_span,signal_span
stat_arb_macd__AUDUSD_VOD__fast_span-12__signal_span-18__slow_span-104,stat_arb_macd,AUDUSD_VOD,12,104,18
stat_arb_macd__AUDUSD_VOD__fast_span-12__signal_span-18__slow_span-26,stat_arb_macd,AUDUSD_VOD,12,26,18
stat_arb_macd__AUDUSD_VOD__fast_span-12__signal_span-18__slow_span-52,stat_arb_macd,AUDUSD_VOD,12,52,18
stat_arb_macd__AUDUSD_VOD__fast_span-12__signal_span-9__slow_span-104,stat_arb_macd,AUDUSD_VOD,12,104,9
stat_arb_macd__AUDUSD_VOD__fast_span-12__signal_span-9__slow_span-26,stat_arb_macd,AUDUSD_VOD,12,26,9
stat_arb_macd__AUDUSD_VOD__fast_span-12__signal_span-9__slow_span-52,stat_arb_macd,AUDUSD_VOD,12,52,9
stat_arb_macd__AUDUSD_VOD__fast_span-24__signal_span-18__slow_span-104,stat_arb_macd,AUDUSD_VOD,24,104,18
stat_arb_macd__AUDUSD_VOD__fast_span-24__signal_span-18__slow_span-26,stat_arb_macd,AUDUSD_VOD,24,26,18
stat_arb_macd__AUDUSD_VOD__fast_span-24__signal_span-18__slow_span-52,stat_arb_macd,AUDUSD_VOD,24,52,18
stat_arb_macd__AUDUSD_VOD__fast_span-24__signal_span-9__slow_span-104,stat_arb_macd,AUDUSD_VOD,24,104,9
stat_arb_macd__AUDUSD_VOD__fast_span-24__signal_span-9__slow_span-26,stat_arb_macd,AUDUSD_VOD,24,26,9
stat_arb_macd__AUDUSD_VOD__fast_span-24__signal_span-9__slow_span-52,stat_arb_macd,AUDUSD_VOD,24,52,9
stat_arb_macd__XAGUSD_XAUUSD__fast_span-12__signal_span-18__slow_span-104,stat_arb_macd,XAGUSD_XAUUSD,12,104,18
stat_arb_macd__XAGUSD_XAUUSD__fast_span-12__signal_span-18__slow_span-26,stat_arb_macd,XAGUSD_XAUUSD,12,26,18
stat_arb_macd__XAGUSD_XAUUSD__fast_span-12__signal_span-18__slow_span-52,stat_arb_macd,XAGUSD_XAUUSD,12,52,18
stat_arb_macd__XAGUSD_XAUUSD__fast_span-12__signal_span-9__slow_span-104,stat_arb_macd,XAGUSD_XAUUSD,12,104,9
stat_arb_macd__XAGUSD_XAUUSD__fast_span-12__signal_span-9__slow_span-26,stat_arb_macd,XAGUSD_XAUUSD,12,26,9
stat_arb_macd__XAGUSD_XAUUSD__fast_span-12__signal_span-9__slow_span-52,stat_arb_macd,XAGUSD_XAUUSD,12,52,9
stat_arb_macd__XAGUSD_XAUUSD__fast_span-24__signal_span-18__slow_span-104,stat_arb_macd,XAGUSD_XAUUSD,24,104,18
stat_arb_macd__XAGUSD_XAUUSD__fast_span-24__signal_span-18__slow_span-26,stat_arb_macd,XAGUSD_XAUUSD,24,26,18
stat_arb_macd__XAGUSD_XAUUSD__fast_span-24__signal_span-18__slow_span-52,stat_arb_macd,XAGUSD_XAUUSD,24,52,18
stat_arb_macd__XAGUSD_XAUUSD__fast_span-24__signal_span-9__slow_span-104,stat_arb_macd,XAGUSD_XAUUSD,24,104,9
stat_arb_macd__XAGUSD_XAUUSD__fast_span-24__signal_span-9__slow_span-26,stat_arb_macd,XAGUSD_XAUUSD,24,26,9
stat_arb_macd__XAGUSD_XAUUSD__fast_span-24__signal_span-9__slow_span-52,stat_arb_macd,XAGUSD_XAUUSD,24,52,9
