candidate_id,family,symbol,lookback,entry_z
stat_arb_return_zscore__AUDUSD_VOD__entry_z-1p5__lookback-12,stat_arb_return_zscore,AUDUSD_VOD,12,1.5
stat_arb_return_zscore__AUDUSD_VOD__entry_z-1p5__lookback-24,stat_arb_return_zscore,AUDUSD_VOD,24,1.5
stat_arb_return_zscore__AUDUSD_VOD__entry_z-1p5__lookback-48,stat_arb_return_zscore,AUDUSD_VOD,48,1.5
stat_arb_return_zscore__AUDUSD_VOD__entry_z-2__lookback-12,stat_arb_return_zscore,AUDUSD_VOD,12,2.0
stat_arb_return_zscore__AUDUSD_VOD__entry_z-2__lookback-24,stat_arb_return_zscore,AUDUSD_VOD,24,2.0
stat_arb_return_zscore__AUDUSD_VOD__entry_z-2__lookback-48,stat_arb_return_zscore,AUDUSD_VOD,48,2.0
stat_arb_return_zscore__XAGUSD_XAUUSD__entry_z-1p5__lookback-12,stat_arb_return_zscore,XAGUSD_XAUUSD,12,1.5
stat_arb_return_zscore__XAGUSD_XAUUSD__entry_z-1p5__lookback-24,stat_arb_return_zscore,XAGUSD_XAUUSD,24,1.5
stat_arb_return_zscore__XAGUSD_XAUUSD__entry_z-1p5__lookback-48,stat_arb_return_zscore,XAGUSD_XAUUSD,48,1.5
stat_arb_return_zscore__XAGUSD_XAUUSD__entry_z-2__lookback-12,stat_arb_return_zscore,XAGUSD_XAUUSD,12,2.0
stat_arb_return_zscore__XAGUSD_XAUUSD__entry_z-2__lookback-24,stat_arb_return_zscore,XAGUSD_XAUUSD,24,2.0
stat_arb_return_zscore__XAGUSD_XAUUSD__entry_z-2__lookback-48,stat_arb_return_zscore,XAGUSD_XAUUSD,48,2.0
