candidate_id,family,symbol,window,entry_band
stat_arb_rsi__AUDUSD_VOD__entry_band-15__window-14,stat_arb_rsi,AUDUSD_VOD,14,15
stat_arb_rsi__AUDUSD_VOD__entry_band-15__window-24,stat_arb_rsi,AUDUSD_VOD,24,15
stat_arb_rsi__AUDUSD_VOD__entry_band-15__window-48,stat_arb_rsi,AUDUSD_VOD,48,15
stat_arb_rsi__AUDUSD_VOD__entry_band-20__window-14,stat_arb_rsi,AUDUSD_VOD,14,20
stat_arb_rsi__AUDUSD_VOD__entry_band-20__window-24,stat_arb_rsi,AUDUSD_VOD,24,20
stat_arb_rsi__AUDUSD_VOD__entry_band-20__window-48,stat_arb_rsi,AUDUSD_VOD,48,20
stat_arb_rsi__AUDUSD_VOD__entry_band-30__window-14,stat_arb_rsi,AUDUSD_VOD,14,30
stat_arb_rsi__AUDUSD_VOD__entry_band-30__window-24,stat_arb_rsi,AUDUSD_VOD,24,30
stat_arb_rsi__AUDUSD_VOD__entry_band-30__window-48,stat_arb_rsi,AUDUSD_VOD,48,30
stat_arb_rsi__XAGUSD_XAUUSD__entry_band-15__window-14,stat_arb_rsi,XAGUSD_XAUUSD,14,15
stat_arb_rsi__XAGUSD_XAUUSD__entry_band-15__window-24,stat_arb_rsi,XAGUSD_XAUUSD,24,15
stat_arb_rsi__XAGUSD_XAUUSD__entry_band-15__window-48,stat_arb_rsi,XAGUSD_XAUUSD,48,15
stat_arb_rsi__XAGUSD_XAUUSD__entry_band-20__window-14,stat_arb_rsi,XAGUSD_XAUUSD,14,20
stat_arb_rsi__XAGUSD_XAUUSD__entry_band-20__window-24,stat_arb_rsi,XAGUSD_XAUUSD,24,20
stat_arb_rsi__XAGUSD_XAUUSD__entry_band-20__window-48,stat_arb_rsi,XAGUSD_XAUUSD,48,20
stat_arb_rsi__XAGUSD_XAUUSD__entry_band-30__window-14,stat_arb_rsi,XAGUSD_XAUUSD,14,30
stat_arb_rsi__XAGUSD_XAUUSD__entry_band-30__window-24,stat_arb_rsi,XAGUSD_XAUUSD,24,30
stat_arb_rsi__XAGUSD_XAUUSD__entry_band-30__window-48,stat_arb_rsi,XAGUSD_XAUUSD,48,30
