candidate_id,family,symbol,window,adx_threshold
trend_adx__AUDUSD__adx_threshold-20__window-14,trend_adx,AUDUSD,14,20
trend_adx__AUDUSD__adx_threshold-20__window-24,trend_adx,AUDUSD,24,20
trend_adx__AUDUSD__adx_threshold-20__window-48,trend_adx,AUDUSD,48,20
trend_adx__AUDUSD__adx_threshold-25__window-14,trend_adx,AUDUSD,14,25
trend_adx__AUDUSD__adx_threshold-25__window-24,trend_adx,AUDUSD,24,25
trend_adx__AUDUSD__adx_threshold-25__window-48,trend_adx,AUDUSD,48,25
trend_adx__AUDUSD__adx_threshold-30__window-14,trend_adx,AUDUSD,14,30
trend_adx__AUDUSD__adx_threshold-30__window-24,trend_adx,AUDUSD,24,30
trend_adx__AUDUSD__adx_threshold-30__window-48,trend_adx,AUDUSD,48,30
trend_adx__EURUSD__adx_threshold-20__window-14,trend_adx,EURUSD,14,20
trend_adx__EURUSD__adx_threshold-20__window-24,trend_adx,EURUSD,24,20
trend_adx__EURUSD__adx_threshold-20__window-48,trend_adx,EURUSD,48,20
trend_adx__EURUSD__adx_threshold-25__window-14,trend_adx,EURUSD,14,25
trend_adx__EURUSD__adx_threshold-25__window-24,trend_adx,EURUSD,24,25
trend_adx__EURUSD__adx_threshold-25__window-48,trend_adx,EURUSD,48,25
trend_adx__EURUSD__adx_threshold-30__window-14,trend_adx,EURUSD,14,30
trend_adx__EURUSD__adx_threshold-30__window-24,trend_adx,EURUSD,24,30
trend_adx__EURUSD__adx_threshold-30__window-48,trend_adx,EURUSD,48,30
trend_adx__GBPUSD__adx_threshold-20__window-14,trend_adx,GBPUSD,14,20
trend_adx__GBPUSD__adx_threshold-20__window-24,trend_adx,GBPUSD,24,20
trend_adx__GBPUSD__adx_threshold-20__window-48,trend_adx,GBPUSD,48,20
trend_adx__GBPUSD__adx_threshold-25__window-14,trend_adx,GBPUSD,14,25
trend_adx__GBPUSD__adx_threshold-25__window-24,trend_adx,GBPUSD,24,25
trend_adx__GBPUSD__adx_threshold-25__window-48,trend_adx,GBPUSD,48,25
trend_adx__GBPUSD__adx_threshold-30__window-14,trend_adx,GBPUSD,14,30
trend_adx__GBPUSD__adx_threshold-30__window-24,trend_adx,GBPUSD,24,30
trend_adx__GBPUSD__adx_threshold-30__window-48,trend_adx,GBPUSD,48,30
trend_adx__SAP__adx_threshold-20__window-14,trend_adx,SAP,14,20
trend_adx__SAP__adx_threshold-20__window-24,trend_adx,SAP,24,20
