candidate_id,family,symbol,window
trend_donchian__AUDUSD__window-120,trend_donchian,AUDUSD,120
trend_donchian__AUDUSD__window-240,trend_donchian,AUDUSD,240
trend_donchian__AUDUSD__window-480,trend_donchian,AUDUSD,480
trend_donchian__EURUSD__window-120,trend_donchian,EURUSD,120
trend_donchian__EURUSD__window-240,trend_donchian,EURUSD,240
trend_donchian__EURUSD__window-480,trend_donchian,EURUSD,480
trend_donchian__GBPUSD__window-120,trend_donchian,GBPUSD,120
trend_donchian__GBPUSD__window-240,trend_donchian,GBPUSD,240
trend_donchian__GBPUSD__window-480,trend_donchian,GBPUSD,480
trend_donchian__SAP__window-120,trend_donchian,SAP,120
trend_donchian__SAP__window-240,trend_donchian,SAP,240
trend_donchian__SAP__window-480,trend_donchian,SAP,480
trend_donchian__USDJPY__window-120,trend_donchian,USDJPY,120
trend_donchian__USDJPY__window-240,trend_donchian,USDJPY,240
trend_donchian__USDJPY__window-480,trend_donchian,USDJPY,480
trend_donchian__VOD__window-120,trend_donchian,VOD,120
trend_donchian__VOD__window-240,trend_donchian,VOD,240
trend_donchian__VOD__window-480,trend_donchian,VOD,480
trend_donchian__XAGUSD__window-120,trend_donchian,XAGUSD,120
trend_donchian__XAGUSD__window-240,trend_donchian,XAGUSD,240
trend_donchian__XAGUSD__window-480,trend_donchian,XAGUSD,480
trend_donchian__XAUUSD__window-120,trend_donchian,XAUUSD,120
trend_donchian__XAUUSD__window-240,trend_donchian,XAUUSD,240
trend_donchian__XAUUSD__window-480,trend_donchian,XAUUSD,480
