candidate_id,family,symbol,fast_span,slow_span,signal_span
trend_macd__AUDUSD__fast_span-12__signal_span-18__slow_span-104,trend_macd,AUDUSD,12,104,18
trend_macd__AUDUSD__fast_span-12__signal_span-18__slow_span-26,trend_macd,AUDUSD,12,26,18
trend_macd__AUDUSD__fast_span-12__signal_span-18__slow_span-52,trend_macd,AUDUSD,12,52,18
trend_macd__AUDUSD__fast_span-12__signal_span-9__slow_span-104,trend_macd,AUDUSD,12,104,9
trend_macd__AUDUSD__fast_span-12__signal_span-9__slow_span-26,trend_macd,AUDUSD,12,26,9
trend_macd__AUDUSD__fast_span-12__signal_span-9__slow_span-52,trend_macd,AUDUSD,12,52,9
trend_macd__AUDUSD__fast_span-24__signal_span-18__slow_span-104,trend_macd,AUDUSD,24,104,18
trend_macd__AUDUSD__fast_span-24__signal_span-18__slow_span-26,trend_macd,AUDUSD,24,26,18
trend_macd__AUDUSD__fast_span-24__signal_span-18__slow_span-52,trend_macd,AUDUSD,24,52,18
trend_macd__AUDUSD__fast_span-24__signal_span-9__slow_span-104,trend_macd,AUDUSD,24,104,9
trend_macd__AUDUSD__fast_span-24__signal_span-9__slow_span-26,trend_macd,AUDUSD,24,26,9
trend_macd__AUDUSD__fast_span-24__signal_span-9__slow_span-52,trend_macd,AUDUSD,24,52,9
trend_macd__EURUSD__fast_span-12__signal_span-18__slow_span-104,trend_macd,EURUSD,12,104,18
trend_macd__EURUSD__fast_span-12__signal_span-18__slow_span-26,trend_macd,EURUSD,12,26,18
trend_macd__EURUSD__fast_span-12__signal_span-18__slow_span-52,trend_macd,EURUSD,12,52,18
trend_macd__EURUSD__fast_span-12__signal_span-9__slow_span-104,trend_macd,EURUSD,12,104,9
trend_macd__EURUSD__fast_span-12__signal_span-9__slow_span-26,trend_macd,EURUSD,12,26,9
trend_macd__EURUSD__fast_span-12__signal_span-9__slow_span-52,trend_macd,EURUSD,12,52,9
trend_macd__EURUSD__fast_span-24__signal_span-18__slow_span-104,trend_macd,EURUSD,24,104,18
trend_macd__EURUSD__fast_span-24__signal_span-18__slow_span-26,trend_macd,EURUSD,24,26,18
trend_macd__EURUSD__fast_span-24__signal_span-18__slow_span-52,trend_macd,EURUSD,24,52,18
trend_macd__EURUSD__fast_span-24__signal_span-9__slow_span-104,trend_macd,EURUSD,24,104,9
trend_macd__EURUSD__fast_span-24__signal_span-9__slow_span-26,trend_macd,EURUSD,24,26,9
