candidate_id,family,symbol,acceleration_step,acceleration_max
trend_psar__AUDUSD__acceleration_max-0p1__acceleration_step-0p01,trend_psar,AUDUSD,0.01,0.1
trend_psar__AUDUSD__acceleration_max-0p1__acceleration_step-0p02,trend_psar,AUDUSD,0.02,0.1
trend_psar__AUDUSD__acceleration_max-0p1__acceleration_step-0p03,trend_psar,AUDUSD,0.03,0.1
trend_psar__AUDUSD__acceleration_max-0p2__acceleration_step-0p01,trend_psar,AUDUSD,0.01,0.2
trend_psar__AUDUSD__acceleration_max-0p2__acceleration_step-0p02,trend_psar,AUDUSD,0.02,0.2
trend_psar__AUDUSD__acceleration_max-0p2__acceleration_step-0p03,trend_psar,AUDUSD,0.03,0.2
trend_psar__AUDUSD__acceleration_max-0p3__acceleration_step-0p01,trend_psar,AUDUSD,0.01,0.3
trend_psar__AUDUSD__acceleration_max-0p3__acceleration_step-0p02,trend_psar,AUDUSD,0.02,0.3
trend_psar__AUDUSD__acceleration_max-0p3__acceleration_step-0p03,trend_psar,AUDUSD,0.03,0.3
trend_psar__EURUSD__acceleration_max-0p1__acceleration_step-0p01,trend_psar,EURUSD,0.01,0.1
trend_psar__EURUSD__acceleration_max-0p1__acceleration_step-0p02,trend_psar,EURUSD,0.02,0.1
trend_psar__EURUSD__acceleration_max-0p1__acceleration_step-0p03,trend_psar,EURUSD,0.03,0.1
trend_psar__EURUSD__acceleration_max-0p2__acceleration_step-0p01,trend_psar,EURUSD,0.01,0.2
trend_psar__EURUSD__acceleration_max-0p2__acceleration_step-0p02,trend_psar,EURUSD,0.02,0.2
trend_psar__EURUSD__acceleration_max-0p2__acceleration_step-0p03,trend_psar,EURUSD,0.03,0.2
trend_psar__EURUSD__acceleration_max-0p3__acceleration_step-0p01,trend_psar,EURUSD,0.01,0.3
trend_psar__EURUSD__acceleration_max-0p3__acceleration_step-0p02,trend_psar,EURUSD,0.02,0.3
trend_psar__EURUSD__acceleration_max-0p3__acceleration_step-0p03,trend_psar,EURUSD,0.03,0.3
trend_psar__GBPUSD__acceleration_max-0p1__acceleration_step-0p01,trend_psar,GBPUSD,0.01,0.1
trend_psar__GBPUSD__acceleration_max-0p1__acceleration_step-0p02,trend_psar,GBPUSD,0.02,0.1
trend_psar__GBPUSD__acceleration_max-0p1__acceleration_step-0p03,trend_psar,GBPUSD,0.03,0.1
trend_psar__GBPUSD__acceleration_max-0p2__acceleration_step-0p01,trend_psar,GBPUSD,0.01,0.2
trend_psar__GBPUSD__acceleration_max-0p2__acceleration_step-0p02,trend_psar,GBPUSD,0.02,0.2
trend_psar__GBPUSD__acceleration_max-0p2__acceleration_step-0p03,trend_psar,GBPUSD,0.03,0.2
trend_psar__GBPUSD__acceleration_max-0p3__acceleration_step-0p01,trend_psar,GBPUSD,0.01,0.3
trend_psar__GBPUSD__acceleration_max-0p3__acceleration_step-0p02,trend_psar,GBPUSD,0.02,0.3
trend_psar__GBPUSD__acceleration_max-0p3__acceleration_step-0p03,trend_psar,GBPUSD,0.03,0.3
trend_psar__SAP__acceleration_max-0p1__acceleration_step-0p01,trend_psar,SAP,0.01,0.1
trend_psar__SAP__acceleration_max-0p1__acceleration_step-0p02,trend_psar,SAP,0.02,0.1
trend_psar__SAP__acceleration_max-0p1__acceleration_step-0p03,trend_psar,SAP,0.03,0.1
trend_psar__SAP__acceleration_max-0p2__acceleration_step-0p01,trend_psar,SAP,0.01,0.2
trend_psar__SAP__acceleration_max-0p2__acceleration_step-0p02,trend_psar,SAP,0.02,0.2
trend_psar__SAP__acceleration_max-0p2__acceleration_step-0p03,trend_psar,SAP,0.03,0.2
trend_psar__SAP__acceleration_max-0p3__acceleration_step-0p01,trend_psar,SAP,0.01,0.3
trend_psar__SAP__acceleration_max-0p3__acceleration_step-0p02,trend_psar,SAP,0.02,0.3
trend_psar__SAP__acceleration_max-0p3__acceleration_step-0p03,trend_psar,SAP,0.03,0.3
trend_psar__USDJPY__acceleration_max-0p1__acceleration_step-0p01,trend_psar,USDJPY,0.01,0.1
trend_psar__USDJPY__acceleration_max-0p1__acceleration_step-0p02,trend_psar,USDJPY,0.02,0.1
trend_psar__USDJPY__acceleration_max-0p1__acceleration_step-0p03,trend_psar,USDJPY,0.03,0.1
trend_psar__USDJPY__acceleration_max-0p2__acceleration_step-0p01,trend_psar,USDJPY,0.01,0.2
trend_psar__USDJPY__acceleration_max-0p2__acceleration_step-0p02,trend_psar,USDJPY,0.02,0.2
trend_psar__USDJPY__acceleration_max-0p2__acceleration_step-0p03,trend_psar,USDJPY,0.03,0.2
trend_psar__USDJPY__acceleration_max-0p3__acceleration_step-0p01,trend_psar,USDJPY,0.01,0.3
