candidate_id,family,symbol,window
trend_sma__AUDUSD__window-120,trend_sma,AUDUSD,120
trend_sma__AUDUSD__window-240,trend_sma,AUDUSD,240
trend_sma__AUDUSD__window-480,trend_sma,AUDUSD,480
trend_sma__EURUSD__window-120,trend_sma,EURUSD,120
trend_sma__EURUSD__window-240,trend_sma,EURUSD,240
trend_sma__EURUSD__window-480,trend_sma,EURUSD,480
trend_sma__GBPUSD__window-120,trend_sma,GBPUSD,120
trend_sma__GBPUSD__window-240,trend_sma,GBPUSD,240
trend_sma__GBPUSD__window-480,trend_sma,GBPUSD,480
trend_sma__SAP__window-120,trend_sma,SAP,120
trend_sma__SAP__window-240,trend_sma,SAP,240
trend_sma__SAP__window-480,trend_sma,SAP,480
trend_sma__USDJPY__window-120,trend_sma,USDJPY,120
trend_sma__USDJPY__window-240,trend_sma,USDJPY,240
trend_sma__USDJPY__window-480,trend_sma,USDJPY,480
trend_sma__VOD__window-120,trend_sma,VOD,120
trend_sma__VOD__window-240,trend_sma,VOD,240
trend_sma__VOD__window-480,trend_sma,VOD,480
trend_sma__XAGUSD__window-120,trend_sma,XAGUSD,120
trend_sma__XAGUSD__window-240,trend_sma,XAGUSD,240
trend_sma__XAGUSD__window-480,trend_sma,XAGUSD,480
trend_sma__XAUUSD__window-120,trend_sma,XAUUSD,120
trend_sma__XAUUSD__window-240,trend_sma,XAUUSD,240
trend_sma__XAUUSD__window-480,trend_sma,XAUUSD,480
