candidate_id,family,symbol,window,num_std,exit_num_std
volatility__AUDUSD__exit_num_std-0__num_std-1p5__window-20,volatility,AUDUSD,20,1.5,0.0
volatility__AUDUSD__exit_num_std-0__num_std-1p5__window-40,volatility,AUDUSD,40,1.5,0.0
volatility__AUDUSD__exit_num_std-0__num_std-1p5__window-80,volatility,AUDUSD,80,1.5,0.0
volatility__AUDUSD__exit_num_std-0__num_std-2__window-20,volatility,AUDUSD,20,2.0,0.0
volatility__AUDUSD__exit_num_std-0__num_std-2__window-40,volatility,AUDUSD,40,2.0,0.0
volatility__AUDUSD__exit_num_std-0__num_std-2__window-80,volatility,AUDUSD,80,2.0,0.0
volatility__AUDUSD__exit_num_std-0__num_std-2p5__window-20,volatility,AUDUSD,20,2.5,0.0
volatility__AUDUSD__exit_num_std-0__num_std-2p5__window-40,volatility,AUDUSD,40,2.5,0.0
volatility__AUDUSD__exit_num_std-0__num_std-2p5__window-80,volatility,AUDUSD,80,2.5,0.0
volatility__AUDUSD__exit_num_std-0__num_std-3__window-20,volatility,AUDUSD,20,3.0,0.0
volatility__AUDUSD__exit_num_std-0__num_std-3__window-40,volatility,AUDUSD,40,3.0,0.0
volatility__AUDUSD__exit_num_std-0__num_std-3__window-80,volatility,AUDUSD,80,3.0,0.0
volatility__AUDUSD__exit_num_std-0p5__num_std-1p5__window-20,volatility,AUDUSD,20,1.5,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-1p5__window-40,volatility,AUDUSD,40,1.5,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-1p5__window-80,volatility,AUDUSD,80,1.5,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-2__window-20,volatility,AUDUSD,20,2.0,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-2__window-40,volatility,AUDUSD,40,2.0,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-2__window-80,volatility,AUDUSD,80,2.0,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-2p5__window-20,volatility,AUDUSD,20,2.5,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-2p5__window-40,volatility,AUDUSD,40,2.5,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-2p5__window-80,volatility,AUDUSD,80,2.5,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-3__window-20,volatility,AUDUSD,20,3.0,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-3__window-40,volatility,AUDUSD,40,3.0,0.5
volatility__AUDUSD__exit_num_std-0p5__num_std-3__window-80,volatility,AUDUSD,80,3.0,0.5
volatility__EURUSD__exit_num_std-0__num_std-1p5__window-20,volatility,EURUSD,20,1.5,0.0
volatility__EURUSD__exit_num_std-0__num_std-1p5__window-40,volatility,EURUSD,40,1.5,0.0
volatility__EURUSD__exit_num_std-0__num_std-1p5__window-80,volatility,EURUSD,80,1.5,0.0
volatility__EURUSD__exit_num_std-0__num_std-2__window-20,volatility,EURUSD,20,2.0,0.0
volatility__EURUSD__exit_num_std-0__num_std-2__window-40,volatility,EURUSD,40,2.0,0.0
volatility__EURUSD__exit_num_std-0__num_std-2__window-80,volatility,EURUSD,80,2.0,0.0
volatility__EURUSD__exit_num_std-0__num_std-2p5__window-20,volatility,EURUSD,20,2.5,0.0
volatility__EURUSD__exit_num_std-0__num_std-2p5__window-40,volatility,EURUSD,40,2.5,0.0
volatility__EURUSD__exit_num_std-0__num_std-2p5__window-80,volatility,EURUSD,80,2.5,0.0
volatility__EURUSD__exit_num_std-0__num_std-3__window-20,volatility,EURUSD,20,3.0,0.0
volatility__EURUSD__exit_num_std-0__num_std-3__window-40,volatility,EURUSD,40,3.0,0.0
volatility__EURUSD__exit_num_std-0__num_std-3__window-80,volatility,EURUSD,80,3.0,0.0
volatility__EURUSD__exit_num_std-0p5__num_std-1p5__window-20,volatility,EURUSD,20,1.5,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-1p5__window-40,volatility,EURUSD,40,1.5,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-1p5__window-80,volatility,EURUSD,80,1.5,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-2__window-20,volatility,EURUSD,20,2.0,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-2__window-40,volatility,EURUSD,40,2.0,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-2__window-80,volatility,EURUSD,80,2.0,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-2p5__window-20,volatility,EURUSD,20,2.5,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-2p5__window-40,volatility,EURUSD,40,2.5,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-2p5__window-80,volatility,EURUSD,80,2.5,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-3__window-20,volatility,EURUSD,20,3.0,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-3__window-40,volatility,EURUSD,40,3.0,0.5
volatility__EURUSD__exit_num_std-0p5__num_std-3__window-80,volatility,EURUSD,80,3.0,0.5
volatility__GBPUSD__exit_num_std-0__num_std-1p5__window-20,volatility,GBPUSD,20,1.5,0.0
volatility__GBPUSD__exit_num_std-0__num_std-1p5__window-40,volatility,GBPUSD,40,1.5,0.0
volatility__GBPUSD__exit_num_std-0__num_std-1p5__window-80,volatility,GBPUSD,80,1.5,0.0
volatility__GBPUSD__exit_num_std-0__num_std-2__window-20,volatility,GBPUSD,20,2.0,0.0
volatility__GBPUSD__exit_num_std-0__num_std-2__window-40,volatility,GBPUSD,40,2.0,0.0
