candidate_id,family,symbol,window,num_atr
volatility_atr__AUDUSD__num_atr-1p5__window-20,volatility_atr,AUDUSD,20,1.5
volatility_atr__AUDUSD__num_atr-1p5__window-40,volatility_atr,AUDUSD,40,1.5
volatility_atr__AUDUSD__num_atr-2__window-20,volatility_atr,AUDUSD,20,2.0
volatility_atr__AUDUSD__num_atr-2__window-40,volatility_atr,AUDUSD,40,2.0
volatility_atr__AUDUSD__num_atr-2p5__window-20,volatility_atr,AUDUSD,20,2.5
volatility_atr__AUDUSD__num_atr-2p5__window-40,volatility_atr,AUDUSD,40,2.5
volatility_atr__EURUSD__num_atr-1p5__window-20,volatility_atr,EURUSD,20,1.5
volatility_atr__EURUSD__num_atr-1p5__window-40,volatility_atr,EURUSD,40,1.5
volatility_atr__EURUSD__num_atr-2__window-20,volatility_atr,EURUSD,20,2.0
volatility_atr__EURUSD__num_atr-2__window-40,volatility_atr,EURUSD,40,2.0
volatility_atr__EURUSD__num_atr-2p5__window-20,volatility_atr,EURUSD,20,2.5
volatility_atr__EURUSD__num_atr-2p5__window-40,volatility_atr,EURUSD,40,2.5
volatility_atr__GBPUSD__num_atr-1p5__window-20,volatility_atr,GBPUSD,20,1.5
volatility_atr__GBPUSD__num_atr-1p5__window-40,volatility_atr,GBPUSD,40,1.5
volatility_atr__GBPUSD__num_atr-2__window-20,volatility_atr,GBPUSD,20,2.0
volatility_atr__GBPUSD__num_atr-2__window-40,volatility_atr,GBPUSD,40,2.0
volatility_atr__GBPUSD__num_atr-2p5__window-20,volatility_atr,GBPUSD,20,2.5
volatility_atr__GBPUSD__num_atr-2p5__window-40,volatility_atr,GBPUSD,40,2.5
volatility_atr__SAP__num_atr-1p5__window-20,volatility_atr,SAP,20,1.5
volatility_atr__SAP__num_atr-1p5__window-40,volatility_atr,SAP,40,1.5
volatility_atr__SAP__num_atr-2__window-20,volatility_atr,SAP,20,2.0
volatility_atr__SAP__num_atr-2__window-40,volatility_atr,SAP,40,2.0
volatility_atr__SAP__num_atr-2p5__window-20,volatility_atr,SAP,20,2.5
volatility_atr__SAP__num_atr-2p5__window-40,volatility_atr,SAP,40,2.5
volatility_atr__USDJPY__num_atr-1p5__window-20,volatility_atr,USDJPY,20,1.5
volatility_atr__USDJPY__num_atr-1p5__window-40,volatility_atr,USDJPY,40,1.5
volatility_atr__USDJPY__num_atr-2__window-20,volatility_atr,USDJPY,20,2.0
volatility_atr__USDJPY__num_atr-2__window-40,volatility_atr,USDJPY,40,2.0
volatility_atr__USDJPY__num_atr-2p5__window-20,volatility_atr,USDJPY,20,2.5
volatility_atr__USDJPY__num_atr-2p5__window-40,volatility_atr,USDJPY,40,2.5
volatility_atr__VOD__num_atr-1p5__window-20,volatility_atr,VOD,20,1.5
volatility_atr__VOD__num_atr-1p5__window-40,volatility_atr,VOD,40,1.5
volatility_atr__VOD__num_atr-2__window-20,volatility_atr,VOD,20,2.0
volatility_atr__VOD__num_atr-2__window-40,volatility_atr,VOD,40,2.0
volatility_atr__VOD__num_atr-2p5__window-20,volatility_atr,VOD,20,2.5
volatility_atr__VOD__num_atr-2p5__window-40,volatility_atr,VOD,40,2.5
volatility_atr__XAGUSD__num_atr-1p5__window-20,volatility_atr,XAGUSD,20,1.5
volatility_atr__XAGUSD__num_atr-1p5__window-40,volatility_atr,XAGUSD,40,1.5
volatility_atr__XAGUSD__num_atr-2__window-20,volatility_atr,XAGUSD,20,2.0
volatility_atr__XAGUSD__num_atr-2__window-40,volatility_atr,XAGUSD,40,2.0
volatility_atr__XAGUSD__num_atr-2p5__window-20,volatility_atr,XAGUSD,20,2.5
volatility_atr__XAGUSD__num_atr-2p5__window-40,volatility_atr,XAGUSD,40,2.5
volatility_atr__XAUUSD__num_atr-1p5__window-20,volatility_atr,XAUUSD,20,1.5
volatility_atr__XAUUSD__num_atr-1p5__window-40,volatility_atr,XAUUSD,40,1.5
volatility_atr__XAUUSD__num_atr-2__window-20,volatility_atr,XAUUSD,20,2.0
volatility_atr__XAUUSD__num_atr-2__window-40,volatility_atr,XAUUSD,40,2.0
volatility_atr__XAUUSD__num_atr-2p5__window-20,volatility_atr,XAUUSD,20,2.5
volatility_atr__XAUUSD__num_atr-2p5__window-40,volatility_atr,XAUUSD,40,2.5
