candidate_id,family,symbol,entry_z,exit_z,short_window
volatility_mean_reversion__AUDUSD__entry_z-1p5__exit_z-0__short_window-12,volatility_mean_reversion,AUDUSD,1.5,0.0,12
volatility_mean_reversion__AUDUSD__entry_z-1p5__exit_z-0__short_window-24,volatility_mean_reversion,AUDUSD,1.5,0.0,24
volatility_mean_reversion__AUDUSD__entry_z-1p5__exit_z-0__short_window-48,volatility_mean_reversion,AUDUSD,1.5,0.0,48
volatility_mean_reversion__AUDUSD__entry_z-1p5__exit_z-0p5__short_window-12,volatility_mean_reversion,AUDUSD,1.5,0.5,12
volatility_mean_reversion__AUDUSD__entry_z-1p5__exit_z-0p5__short_window-24,volatility_mean_reversion,AUDUSD,1.5,0.5,24
volatility_mean_reversion__AUDUSD__entry_z-1p5__exit_z-0p5__short_window-48,volatility_mean_reversion,AUDUSD,1.5,0.5,48
volatility_mean_reversion__AUDUSD__entry_z-2__exit_z-0__short_window-12,volatility_mean_reversion,AUDUSD,2.0,0.0,12
volatility_mean_reversion__AUDUSD__entry_z-2__exit_z-0__short_window-24,volatility_mean_reversion,AUDUSD,2.0,0.0,24
volatility_mean_reversion__AUDUSD__entry_z-2__exit_z-0__short_window-48,volatility_mean_reversion,AUDUSD,2.0,0.0,48
volatility_mean_reversion__AUDUSD__entry_z-2__exit_z-0p5__short_window-12,volatility_mean_reversion,AUDUSD,2.0,0.5,12
volatility_mean_reversion__AUDUSD__entry_z-2__exit_z-0p5__short_window-24,volatility_mean_reversion,AUDUSD,2.0,0.5,24
volatility_mean_reversion__AUDUSD__entry_z-2__exit_z-0p5__short_window-48,volatility_mean_reversion,AUDUSD,2.0,0.5,48
volatility_mean_reversion__EURUSD__entry_z-1p5__exit_z-0__short_window-12,volatility_mean_reversion,EURUSD,1.5,0.0,12
volatility_mean_reversion__EURUSD__entry_z-1p5__exit_z-0__short_window-24,volatility_mean_reversion,EURUSD,1.5,0.0,24
volatility_mean_reversion__EURUSD__entry_z-1p5__exit_z-0__short_window-48,volatility_mean_reversion,EURUSD,1.5,0.0,48
volatility_mean_reversion__EURUSD__entry_z-1p5__exit_z-0p5__short_window-12,volatility_mean_reversion,EURUSD,1.5,0.5,12
volatility_mean_reversion__EURUSD__entry_z-1p5__exit_z-0p5__short_window-24,volatility_mean_reversion,EURUSD,1.5,0.5,24
volatility_mean_reversion__EURUSD__entry_z-1p5__exit_z-0p5__short_window-48,volatility_mean_reversion,EURUSD,1.5,0.5,48
volatility_mean_reversion__EURUSD__entry_z-2__exit_z-0__short_window-12,volatility_mean_reversion,EURUSD,2.0,0.0,12
volatility_mean_reversion__EURUSD__entry_z-2__exit_z-0__short_window-24,volatility_mean_reversion,EURUSD,2.0,0.0,24
volatility_mean_reversion__EURUSD__entry_z-2__exit_z-0__short_window-48,volatility_mean_reversion,EURUSD,2.0,0.0,48
volatility_mean_reversion__EURUSD__entry_z-2__exit_z-0p5__short_window-12,volatility_mean_reversion,EURUSD,2.0,0.5,12
