candidate_id,family,symbol,window,expansion_multiple
volatility_range_expansion__AUDUSD__expansion_multiple-1p5__window-20,volatility_range_expansion,AUDUSD,20,1.5
volatility_range_expansion__AUDUSD__expansion_multiple-1p5__window-40,volatility_range_expansion,AUDUSD,40,1.5
volatility_range_expansion__AUDUSD__expansion_multiple-2__window-20,volatility_range_expansion,AUDUSD,20,2.0
volatility_range_expansion__AUDUSD__expansion_multiple-2__window-40,volatility_range_expansion,AUDUSD,40,2.0
volatility_range_expansion__EURUSD__expansion_multiple-1p5__window-20,volatility_range_expansion,EURUSD,20,1.5
volatility_range_expansion__EURUSD__expansion_multiple-1p5__window-40,volatility_range_expansion,EURUSD,40,1.5
volatility_range_expansion__EURUSD__expansion_multiple-2__window-20,volatility_range_expansion,EURUSD,20,2.0
volatility_range_expansion__EURUSD__expansion_multiple-2__window-40,volatility_range_expansion,EURUSD,40,2.0
volatility_range_expansion__GBPUSD__expansion_multiple-1p5__window-20,volatility_range_expansion,GBPUSD,20,1.5
volatility_range_expansion__GBPUSD__expansion_multiple-1p5__window-40,volatility_range_expansion,GBPUSD,40,1.5
volatility_range_expansion__GBPUSD__expansion_multiple-2__window-20,volatility_range_expansion,GBPUSD,20,2.0
volatility_range_expansion__GBPUSD__expansion_multiple-2__window-40,volatility_range_expansion,GBPUSD,40,2.0
volatility_range_expansion__SAP__expansion_multiple-1p5__window-20,volatility_range_expansion,SAP,20,1.5
volatility_range_expansion__SAP__expansion_multiple-1p5__window-40,volatility_range_expansion,SAP,40,1.5
volatility_range_expansion__SAP__expansion_multiple-2__window-20,volatility_range_expansion,SAP,20,2.0
volatility_range_expansion__SAP__expansion_multiple-2__window-40,volatility_range_expansion,SAP,40,2.0
volatility_range_expansion__USDJPY__expansion_multiple-1p5__window-20,volatility_range_expansion,USDJPY,20,1.5
volatility_range_expansion__USDJPY__expansion_multiple-1p5__window-40,volatility_range_expansion,USDJPY,40,1.5
volatility_range_expansion__USDJPY__expansion_multiple-2__window-20,volatility_range_expansion,USDJPY,20,2.0
volatility_range_expansion__USDJPY__expansion_multiple-2__window-40,volatility_range_expansion,USDJPY,40,2.0
volatility_range_expansion__VOD__expansion_multiple-1p5__window-20,volatility_range_expansion,VOD,20,1.5
volatility_range_expansion__VOD__expansion_multiple-1p5__window-40,volatility_range_expansion,VOD,40,1.5
volatility_range_expansion__VOD__expansion_multiple-2__window-20,volatility_range_expansion,VOD,20,2.0
volatility_range_expansion__VOD__expansion_multiple-2__window-40,volatility_range_expansion,VOD,40,2.0
volatility_range_expansion__XAGUSD__expansion_multiple-1p5__window-20,volatility_range_expansion,XAGUSD,20,1.5
volatility_range_expansion__XAGUSD__expansion_multiple-1p5__window-40,volatility_range_expansion,XAGUSD,40,1.5
volatility_range_expansion__XAGUSD__expansion_multiple-2__window-20,volatility_range_expansion,XAGUSD,20,2.0
volatility_range_expansion__XAGUSD__expansion_multiple-2__window-40,volatility_range_expansion,XAGUSD,40,2.0
volatility_range_expansion__XAUUSD__expansion_multiple-1p5__window-20,volatility_range_expansion,XAUUSD,20,1.5
volatility_range_expansion__XAUUSD__expansion_multiple-1p5__window-40,volatility_range_expansion,XAUUSD,40,1.5
volatility_range_expansion__XAUUSD__expansion_multiple-2__window-20,volatility_range_expansion,XAUUSD,20,2.0
volatility_range_expansion__XAUUSD__expansion_multiple-2__window-40,volatility_range_expansion,XAUUSD,40,2.0
