candidate_id,family,symbol,window,num_std,atr_multiple
volatility_squeeze__AUDUSD__atr_multiple-1p5__num_std-1p5__window-20,volatility_squeeze,AUDUSD,20,1.5,1.5
volatility_squeeze__AUDUSD__atr_multiple-1p5__num_std-1p5__window-40,volatility_squeeze,AUDUSD,40,1.5,1.5
volatility_squeeze__AUDUSD__atr_multiple-1p5__num_std-2__window-20,volatility_squeeze,AUDUSD,20,2.0,1.5
volatility_squeeze__AUDUSD__atr_multiple-1p5__num_std-2__window-40,volatility_squeeze,AUDUSD,40,2.0,1.5
volatility_squeeze__AUDUSD__atr_multiple-2__num_std-1p5__window-20,volatility_squeeze,AUDUSD,20,1.5,2.0
volatility_squeeze__AUDUSD__atr_multiple-2__num_std-1p5__window-40,volatility_squeeze,AUDUSD,40,1.5,2.0
volatility_squeeze__AUDUSD__atr_multiple-2__num_std-2__window-20,volatility_squeeze,AUDUSD,20,2.0,2.0
volatility_squeeze__AUDUSD__atr_multiple-2__num_std-2__window-40,volatility_squeeze,AUDUSD,40,2.0,2.0
volatility_squeeze__EURUSD__atr_multiple-1p5__num_std-1p5__window-20,volatility_squeeze,EURUSD,20,1.5,1.5
volatility_squeeze__EURUSD__atr_multiple-1p5__num_std-1p5__window-40,volatility_squeeze,EURUSD,40,1.5,1.5
volatility_squeeze__EURUSD__atr_multiple-1p5__num_std-2__window-20,volatility_squeeze,EURUSD,20,2.0,1.5
volatility_squeeze__EURUSD__atr_multiple-1p5__num_std-2__window-40,volatility_squeeze,EURUSD,40,2.0,1.5
volatility_squeeze__EURUSD__atr_multiple-2__num_std-1p5__window-20,volatility_squeeze,EURUSD,20,1.5,2.0
volatility_squeeze__EURUSD__atr_multiple-2__num_std-1p5__window-40,volatility_squeeze,EURUSD,40,1.5,2.0
volatility_squeeze__EURUSD__atr_multiple-2__num_std-2__window-20,volatility_squeeze,EURUSD,20,2.0,2.0
volatility_squeeze__EURUSD__atr_multiple-2__num_std-2__window-40,volatility_squeeze,EURUSD,40,2.0,2.0
volatility_squeeze__GBPUSD__atr_multiple-1p5__num_std-1p5__window-20,volatility_squeeze,GBPUSD,20,1.5,1.5
volatility_squeeze__GBPUSD__atr_multiple-1p5__num_std-1p5__window-40,volatility_squeeze,GBPUSD,40,1.5,1.5
volatility_squeeze__GBPUSD__atr_multiple-1p5__num_std-2__window-20,volatility_squeeze,GBPUSD,20,2.0,1.5
volatility_squeeze__GBPUSD__atr_multiple-1p5__num_std-2__window-40,volatility_squeeze,GBPUSD,40,2.0,1.5
volatility_squeeze__GBPUSD__atr_multiple-2__num_std-1p5__window-20,volatility_squeeze,GBPUSD,20,1.5,2.0
volatility_squeeze__GBPUSD__atr_multiple-2__num_std-1p5__window-40,volatility_squeeze,GBPUSD,40,1.5,2.0
volatility_squeeze__GBPUSD__atr_multiple-2__num_std-2__window-20,volatility_squeeze,GBPUSD,20,2.0,2.0
volatility_squeeze__GBPUSD__atr_multiple-2__num_std-2__window-40,volatility_squeeze,GBPUSD,40,2.0,2.0
volatility_squeeze__SAP__atr_multiple-1p5__num_std-1p5__window-20,volatility_squeeze,SAP,20,1.5,1.5
volatility_squeeze__SAP__atr_multiple-1p5__num_std-1p5__window-40,volatility_squeeze,SAP,40,1.5,1.5
volatility_squeeze__SAP__atr_multiple-1p5__num_std-2__window-20,volatility_squeeze,SAP,20,2.0,1.5
