candidate_id,family,symbol,threshold,realized_vol_window
volatility_vix_regime__AUDUSD__realized_vol_window-24__threshold-0,volatility_vix_regime,AUDUSD,0,24
volatility_vix_regime__AUDUSD__realized_vol_window-24__threshold-10,volatility_vix_regime,AUDUSD,10,24
volatility_vix_regime__AUDUSD__realized_vol_window-24__threshold-5,volatility_vix_regime,AUDUSD,5,24
volatility_vix_regime__AUDUSD__realized_vol_window-48__threshold-0,volatility_vix_regime,AUDUSD,0,48
volatility_vix_regime__AUDUSD__realized_vol_window-48__threshold-10,volatility_vix_regime,AUDUSD,10,48
volatility_vix_regime__AUDUSD__realized_vol_window-48__threshold-5,volatility_vix_regime,AUDUSD,5,48
volatility_vix_regime__AUDUSD__realized_vol_window-96__threshold-0,volatility_vix_regime,AUDUSD,0,96
volatility_vix_regime__AUDUSD__realized_vol_window-96__threshold-10,volatility_vix_regime,AUDUSD,10,96
volatility_vix_regime__AUDUSD__realized_vol_window-96__threshold-5,volatility_vix_regime,AUDUSD,5,96
volatility_vix_regime__EURUSD__realized_vol_window-24__threshold-0,volatility_vix_regime,EURUSD,0,24
volatility_vix_regime__EURUSD__realized_vol_window-24__threshold-10,volatility_vix_regime,EURUSD,10,24
volatility_vix_regime__EURUSD__realized_vol_window-24__threshold-5,volatility_vix_regime,EURUSD,5,24
volatility_vix_regime__EURUSD__realized_vol_window-48__threshold-0,volatility_vix_regime,EURUSD,0,48
volatility_vix_regime__EURUSD__realized_vol_window-48__threshold-10,volatility_vix_regime,EURUSD,10,48
volatility_vix_regime__EURUSD__realized_vol_window-48__threshold-5,volatility_vix_regime,EURUSD,5,48
volatility_vix_regime__EURUSD__realized_vol_window-96__threshold-0,volatility_vix_regime,EURUSD,0,96
volatility_vix_regime__EURUSD__realized_vol_window-96__threshold-10,volatility_vix_regime,EURUSD,10,96
volatility_vix_regime__EURUSD__realized_vol_window-96__threshold-5,volatility_vix_regime,EURUSD,5,96
volatility_vix_regime__GBPUSD__realized_vol_window-24__threshold-0,volatility_vix_regime,GBPUSD,0,24
volatility_vix_regime__GBPUSD__realized_vol_window-24__threshold-10,volatility_vix_regime,GBPUSD,10,24
volatility_vix_regime__GBPUSD__realized_vol_window-24__threshold-5,volatility_vix_regime,GBPUSD,5,24
volatility_vix_regime__GBPUSD__realized_vol_window-48__threshold-0,volatility_vix_regime,GBPUSD,0,48
volatility_vix_regime__GBPUSD__realized_vol_window-48__threshold-10,volatility_vix_regime,GBPUSD,10,48
volatility_vix_regime__GBPUSD__realized_vol_window-48__threshold-5,volatility_vix_regime,GBPUSD,5,48
volatility_vix_regime__GBPUSD__realized_vol_window-96__threshold-0,volatility_vix_regime,GBPUSD,0,96
volatility_vix_regime__GBPUSD__realized_vol_window-96__threshold-10,volatility_vix_regime,GBPUSD,10,96
volatility_vix_regime__GBPUSD__realized_vol_window-96__threshold-5,volatility_vix_regime,GBPUSD,5,96
volatility_vix_regime__SAP__realized_vol_window-24__threshold-0,volatility_vix_regime,SAP,0,24
volatility_vix_regime__SAP__realized_vol_window-24__threshold-10,volatility_vix_regime,SAP,10,24
volatility_vix_regime__SAP__realized_vol_window-24__threshold-5,volatility_vix_regime,SAP,5,24
volatility_vix_regime__SAP__realized_vol_window-48__threshold-0,volatility_vix_regime,SAP,0,48
volatility_vix_regime__SAP__realized_vol_window-48__threshold-10,volatility_vix_regime,SAP,10,48
volatility_vix_regime__SAP__realized_vol_window-48__threshold-5,volatility_vix_regime,SAP,5,48
volatility_vix_regime__SAP__realized_vol_window-96__threshold-0,volatility_vix_regime,SAP,0,96
volatility_vix_regime__SAP__realized_vol_window-96__threshold-10,volatility_vix_regime,SAP,10,96
volatility_vix_regime__SAP__realized_vol_window-96__threshold-5,volatility_vix_regime,SAP,5,96
volatility_vix_regime__USDJPY__realized_vol_window-24__threshold-0,volatility_vix_regime,USDJPY,0,24
volatility_vix_regime__USDJPY__realized_vol_window-24__threshold-10,volatility_vix_regime,USDJPY,10,24
volatility_vix_regime__USDJPY__realized_vol_window-24__threshold-5,volatility_vix_regime,USDJPY,5,24
volatility_vix_regime__USDJPY__realized_vol_window-48__threshold-0,volatility_vix_regime,USDJPY,0,48
volatility_vix_regime__USDJPY__realized_vol_window-48__threshold-10,volatility_vix_regime,USDJPY,10,48
volatility_vix_regime__USDJPY__realized_vol_window-48__threshold-5,volatility_vix_regime,USDJPY,5,48
volatility_vix_regime__USDJPY__realized_vol_window-96__threshold-0,volatility_vix_regime,USDJPY,0,96
volatility_vix_regime__USDJPY__realized_vol_window-96__threshold-10,volatility_vix_regime,USDJPY,10,96
volatility_vix_regime__USDJPY__realized_vol_window-96__threshold-5,volatility_vix_regime,USDJPY,5,96
volatility_vix_regime__VOD__realized_vol_window-24__threshold-0,volatility_vix_regime,VOD,0,24
volatility_vix_regime__VOD__realized_vol_window-24__threshold-10,volatility_vix_regime,VOD,10,24
volatility_vix_regime__VOD__realized_vol_window-24__threshold-5,volatility_vix_regime,VOD,5,24
volatility_vix_regime__VOD__realized_vol_window-48__threshold-0,volatility_vix_regime,VOD,0,48
volatility_vix_regime__VOD__realized_vol_window-48__threshold-10,volatility_vix_regime,VOD,10,48
volatility_vix_regime__VOD__realized_vol_window-48__threshold-5,volatility_vix_regime,VOD,5,48
volatility_vix_regime__VOD__realized_vol_window-96__threshold-0,volatility_vix_regime,VOD,0,96
volatility_vix_regime__VOD__realized_vol_window-96__threshold-10,volatility_vix_regime,VOD,10,96
volatility_vix_regime__VOD__realized_vol_window-96__threshold-5,volatility_vix_regime,VOD,5,96
volatility_vix_regime__XAGUSD__realized_vol_window-24__threshold-0,volatility_vix_regime,XAGUSD,0,24
volatility_vix_regime__XAGUSD__realized_vol_window-24__threshold-10,volatility_vix_regime,XAGUSD,10,24
volatility_vix_regime__XAGUSD__realized_vol_window-24__threshold-5,volatility_vix_regime,XAGUSD,5,24
volatility_vix_regime__XAGUSD__realized_vol_window-48__threshold-0,volatility_vix_regime,XAGUSD,0,48
volatility_vix_regime__XAGUSD__realized_vol_window-48__threshold-10,volatility_vix_regime,XAGUSD,10,48
volatility_vix_regime__XAGUSD__realized_vol_window-48__threshold-5,volatility_vix_regime,XAGUSD,5,48
volatility_vix_regime__XAGUSD__realized_vol_window-96__threshold-0,volatility_vix_regime,XAGUSD,0,96
volatility_vix_regime__XAGUSD__realized_vol_window-96__threshold-10,volatility_vix_regime,XAGUSD,10,96
volatility_vix_regime__XAGUSD__realized_vol_window-96__threshold-5,volatility_vix_regime,XAGUSD,5,96
volatility_vix_regime__XAUUSD__realized_vol_window-24__threshold-0,volatility_vix_regime,XAUUSD,0,24
volatility_vix_regime__XAUUSD__realized_vol_window-24__threshold-10,volatility_vix_regime,XAUUSD,10,24
volatility_vix_regime__XAUUSD__realized_vol_window-24__threshold-5,volatility_vix_regime,XAUUSD,5,24
volatility_vix_regime__XAUUSD__realized_vol_window-48__threshold-0,volatility_vix_regime,XAUUSD,0,48
volatility_vix_regime__XAUUSD__realized_vol_window-48__threshold-10,volatility_vix_regime,XAUUSD,10,48
volatility_vix_regime__XAUUSD__realized_vol_window-48__threshold-5,volatility_vix_regime,XAUUSD,5,48
volatility_vix_regime__XAUUSD__realized_vol_window-96__threshold-0,volatility_vix_regime,XAUUSD,0,96
volatility_vix_regime__XAUUSD__realized_vol_window-96__threshold-10,volatility_vix_regime,XAUUSD,10,96
volatility_vix_regime__XAUUSD__realized_vol_window-96__threshold-5,volatility_vix_regime,XAUUSD,5,96
