parent_candidate_id,neighbor_candidate_id,family,symbol,lookback,entry_z,oos_net_total_return,oos_net_annual_return,oos_net_sharpe,oos_net_max_drawdown,oos_trade_count,fast_window,slow_window
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion__ETHUSD__entry_z-1p2__lookback-19,mean_reversion,ETHUSD,19.0,1.2,-0.8124516126841563,-0.4987904097442929,-0.8540415133403897,-0.8330674817615795,896,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion__ETHUSD__entry_z-1p2__lookback-24,mean_reversion,ETHUSD,24.0,1.2,-0.7009778873776259,-0.39238747055369416,-0.5470566376372573,-0.7134314453270113,722,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion__ETHUSD__entry_z-1p2__lookback-29,mean_reversion,ETHUSD,29.0,1.2,-0.33360633208089285,-0.15422457858326577,0.008818414443939352,-0.5553860646478412,632,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion__ETHUSD__entry_z-1p5__lookback-19,mean_reversion,ETHUSD,19.0,1.5,-0.7794861303533479,-0.46415279776316265,-0.7952199747654008,-0.803292177158857,780,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion__ETHUSD__entry_z-1p5__lookback-29,mean_reversion,ETHUSD,29.0,1.5,-0.33263122746589546,-0.1537140554691172,-0.012248909558742152,-0.5500429519285222,550,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion__ETHUSD__entry_z-1p8__lookback-19,mean_reversion,ETHUSD,19.0,1.8,-0.619485687985925,-0.3288458423820355,-0.4624126302511431,-0.666868313796044,670,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion__ETHUSD__entry_z-1p8__lookback-24,mean_reversion,ETHUSD,24.0,1.8,-0.5524660724116816,-0.28237341783999803,-0.33428816255158794,-0.5906309588843057,549,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion__ETHUSD__entry_z-1p8__lookback-29,mean_reversion,ETHUSD,29.0,1.8,-0.4243855627969204,-0.20382569346116086,-0.14637524494193355,-0.589891057863047,457,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion__ETHUSD__entry_z-1p2__lookback-38,mean_reversion,ETHUSD,38.0,1.2,-0.44512735991896235,-0.21579336085023682,-0.11328252334650547,-0.584707419940315,501,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion__ETHUSD__entry_z-1p2__lookback-48,mean_reversion,ETHUSD,48.0,1.2,-0.556490858961578,-0.28504391921419836,-0.258399818923189,-0.7049229090651046,413,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion__ETHUSD__entry_z-1p2__lookback-58,mean_reversion,ETHUSD,58.0,1.2,-0.5626074677629669,-0.28912976710076377,-0.2606291727777775,-0.700253201681954,352,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion__ETHUSD__entry_z-1p5__lookback-38,mean_reversion,ETHUSD,38.0,1.5,-0.5204021539464604,-0.2615851115453435,-0.2373589155449771,-0.6288440428781311,425,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion__ETHUSD__entry_z-1p5__lookback-58,mean_reversion,ETHUSD,58.0,1.5,-0.5250675987562057,-0.26455806448538133,-0.22801388844535733,-0.6718956979540569,311,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion__ETHUSD__entry_z-1p8__lookback-38,mean_reversion,ETHUSD,38.0,1.8,-0.641889571293563,-0.34544495128835406,-0.48266836915353567,-0.7038278450027431,362,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion__ETHUSD__entry_z-1p8__lookback-48,mean_reversion,ETHUSD,48.0,1.8,-0.5880962452438198,-0.30652769629270493,-0.36126078819901486,-0.7111709489775265,302,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion__ETHUSD__entry_z-1p8__lookback-58,mean_reversion,ETHUSD,58.0,1.8,-0.5518328181603528,-0.28195453090475364,-0.3004166358080879,-0.6920923122617295,259,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion__ETHUSD__entry_z-1p2__lookback-77,mean_reversion,ETHUSD,77.0,1.2,-0.7347798985727104,-0.4217352261334947,-0.6066901943414208,-0.8275930660572463,266,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion__ETHUSD__entry_z-1p2__lookback-96,mean_reversion,ETHUSD,96.0,1.2,-0.73419255768455,-0.42120707908535493,-0.6063378207163796,-0.8372432530502929,214,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion__ETHUSD__entry_z-1p2__lookback-115,mean_reversion,ETHUSD,115.0,1.2,-0.7420653124094135,-0.4283443154904759,-0.621891781607161,-0.82825225228524,187,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion__ETHUSD__entry_z-1p5__lookback-77,mean_reversion,ETHUSD,77.0,1.5,-0.7880875903409913,-0.47287958057242696,-0.7944127021462364,-0.8481050032716884,223,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion__ETHUSD__entry_z-1p5__lookback-115,mean_reversion,ETHUSD,115.0,1.5,-0.6928805364153107,-0.3856503456567677,-0.5341381476870863,-0.7797547533595252,158,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion__ETHUSD__entry_z-1p8__lookback-77,mean_reversion,ETHUSD,77.0,1.8,-0.7444212784797555,-0.4305049896482027,-0.696453400789944,-0.827516307808877,196,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion__ETHUSD__entry_z-1p8__lookback-96,mean_reversion,ETHUSD,96.0,1.8,-0.7843717166444131,-0.46908451334279644,-0.813371805027811,-0.8547159286223983,157,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion__ETHUSD__entry_z-1p8__lookback-115,mean_reversion,ETHUSD,115.0,1.8,-0.6657334738252163,-0.3637955018151806,-0.503179020507166,-0.7714106635479335,135,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion__ETHUSD__entry_z-2__lookback-19,mean_reversion,ETHUSD,19.0,2.0,-0.5560175025233407,-0.28472910413571295,-0.3733883538882368,-0.6404504023306283,598,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion__ETHUSD__entry_z-2__lookback-29,mean_reversion,ETHUSD,29.0,2.0,-0.42578697930885223,-0.20462622971161903,-0.16606109926531842,-0.5595890364902318,412,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion__ETHUSD__entry_z-2__lookback-38,mean_reversion,ETHUSD,38.0,2.0,-0.6621014093964914,-0.36095167016548746,-0.5530573580710055,-0.710038584456745,318,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion__ETHUSD__entry_z-2__lookback-58,mean_reversion,ETHUSD,58.0,2.0,-0.6082418320086502,-0.32073125427620264,-0.4175553668166516,-0.7388216703429336,231,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion__ETHUSD__entry_z-2__lookback-77,mean_reversion,ETHUSD,77.0,2.0,-0.713383938067246,-0.40292067619024174,-0.6392689358352867,-0.791989500490845,179,,
