candidate_id,family,symbol,lookback,entry_z,walkforward_first_test_start,walkforward_last_test_end,layer2_planned_folds,walkforward_gross_total_return,walkforward_gross_annual_return,walkforward_gross_annual_volatility,walkforward_gross_sharpe,walkforward_gross_max_drawdown,walkforward_gross_calmar,walkforward_net_total_return,walkforward_net_annual_return,walkforward_net_annual_volatility,walkforward_net_sharpe,walkforward_net_max_drawdown,walkforward_net_calmar,walkforward_window_count,walkforward_positive_window_count,walkforward_positive_window_fraction,walkforward_total_test_trades,walkforward_median_window_sharpe,walkforward_worst_window_sharpe,walkforward_best_window_sharpe,walkforward_median_window_return,walkforward_worst_window_return,walkforward_total_transaction_cost,walkforward_aggregate_max_drawdown,walkforward_observation_count,layer2_completed_folds,layer2_oos_total_trades,layer2_profitable_fold_share,layer2_parameter_selection_unique_count,layer2_parameter_selection_mode_share,layer2_selected_parameters_by_fold,layer2_fallback_fold_count,layer2_failed_criteria,layer2_primary_failure_reason,layer2_pass,failure_reason,fast_window,slow_window
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,24.0,1.5,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.8990198161727393,-0.4374035195904262,0.5665429817011625,-0.7305435413008082,-0.9407130285042725,-0.4649701942428659,-0.9518673190642918,-0.5328359581842878,0.5667288839057726,-1.0580672521839163,-0.9689261092710333,-0.5499242440532067,8,1,0.125,858,-1.7063976598225397,-2.5513019189468817,1.8444886330742816,-0.3139196695312396,-0.6090192825417884,0.7404478175491755,-0.9689261092710333,24837,8,858,0.125,3,0.5,"{""1"":""{\""entry_z\"":1.5,\""lookback\"":29}"",""2"":""{\""entry_z\"":1.5,\""lookback\"":29}"",""3"":""{\""entry_z\"":1.5,\""lookback\"":29}"",""4"":""{\""entry_z\"":1.2,\""lookback\"":29}"",""5"":""{\""entry_z\"":1.5,\""lookback\"":29}"",""6"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""7"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""8"":""{\""entry_z\"":1.2,\""lookback\"":29}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,48.0,1.5,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.924631333873813,-0.4772118963625146,0.584163195495439,-0.8168062803949009,-0.9501738430142819,-0.502236406391311,-0.9535051230949253,-0.5368756091688707,0.5842967382651918,-1.0238517485845617,-0.9670004588443444,-0.5551968504859729,8,1,0.125,577,-0.9861193584951422,-2.8830899401871086,1.4305445367963727,-0.24201816813974192,-0.7039706064745448,0.48266890392447276,-0.9670004588443444,24837,8,577,0.125,5,0.25,"{""1"":""{\""entry_z\"":1.8,\""lookback\"":38}"",""2"":""{\""entry_z\"":1.2,\""lookback\"":38}"",""3"":""{\""entry_z\"":1.8,\""lookback\"":38}"",""4"":""{\""entry_z\"":1.8,\""lookback\"":58}"",""5"":""{\""entry_z\"":1.5,\""lookback\"":58}"",""6"":""{\""entry_z\"":1.5,\""lookback\"":58}"",""7"":""{\""entry_z\"":1.2,\""lookback\"":58}"",""8"":""{\""entry_z\"":1.2,\""lookback\"":38}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion,ETHUSD,96.0,1.5,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.9395546486097812,-0.5053639584702545,0.5902831995175982,-0.8957899835051728,-0.9508042995707758,-0.531512066887363,-0.9531233481607089,-0.5359245449599767,0.5903998911292008,-1.003500554852056,-0.9616583913939745,-0.5572920173692093,8,3,0.375,300,-1.1362759549021826,-2.957876874281545,0.7888315876085568,-0.3901137325561563,-0.55318774994799,0.2539081345138357,-0.9616583913939745,24837,8,300,0.375,6,0.25,"{""1"":""{\""entry_z\"":1.2,\""lookback\"":96}"",""2"":""{\""entry_z\"":1.5,\""lookback\"":77}"",""3"":""{\""entry_z\"":1.2,\""lookback\"":96}"",""4"":""{\""entry_z\"":1.8,\""lookback\"":115}"",""5"":""{\""entry_z\"":1.8,\""lookback\"":115}"",""6"":""{\""entry_z\"":1.8,\""lookback\"":77}"",""7"":""{\""entry_z\"":1.2,\""lookback\"":115}"",""8"":""{\""entry_z\"":1.2,\""lookback\"":77}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,24.0,2.0,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.9015017946880517,-0.4409048888138044,0.5290498480674497,-0.8329172356187727,-0.9411138278692661,-0.4684926262448375,-0.9439442791410504,-0.5146314064281674,0.5292573383090501,-1.099534871820816,-0.9639947857815443,-0.533852894246661,8,1,0.125,654,-1.5257075239468207,-3.0198540306115698,1.8867380969996557,-0.26758188074512274,-0.7002189723366363,0.5631784862607843,-0.9639947857815443,24837,8,654,0.125,1,1.0,"{""1"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""5"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""6"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""7"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""8"":""{\""entry_z\"":2.0,\""lookback\"":29}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,48.0,2.0,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.9018409088039157,-0.44138839868402413,0.5473993286472525,-0.788580645588281,-0.9190294244481079,-0.48027667770167976,-0.9311905050466484,-0.4890177081018523,0.5475293782653267,-0.9510081082586944,-0.9429116303004094,-0.5186251737567946,8,1,0.125,416,-1.1985763799407079,-2.741736877824321,1.7483463922879188,-0.2739581079590922,-0.6756748688008559,0.35491645065976735,-0.9429116303004094,24837,8,416,0.125,2,0.625,"{""1"":""{\""entry_z\"":2.0,\""lookback\"":38}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""5"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""6"":""{\""entry_z\"":2.0,\""lookback\"":38}"",""7"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""8"":""{\""entry_z\"":2.0,\""lookback\"":38}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,96.0,2.0,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.9048544193736927,-0.4457410039851075,0.5573322364512988,-0.7784773443477025,-0.9295177202540674,-0.4795400822087308,-0.9233951752435561,-0.4750739370515089,0.5574270868844773,-0.8757833134165118,-0.9430879075256736,-0.5037430055676714,8,3,0.375,248,-0.9674915427151035,-2.9089052921547904,1.613654359157065,-0.2685968761976385,-0.5849476208030455,0.21650956168515773,-0.9430879075256736,24837,8,248,0.375,2,0.625,"{""1"":""{\""entry_z\"":2.0,\""lookback\"":77}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":77}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":77}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""5"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""6"":""{\""entry_z\"":2.0,\""lookback\"":77}"",""7"":""{\""entry_z\"":2.0,\""lookback\"":77}"",""8"":""{\""entry_z\"":2.0,\""lookback\"":115}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,2021-12-29 23:00:00,2025-12-24 23:00:00,8,0.11828072926677291,0.028445151064436347,0.14187805834839579,0.26853296625300577,-0.17063131376255036,0.16670533934949636,-0.03159377868556601,-0.00802226985847998,0.14188175725777386,0.014073460153612358,-0.20788949208683172,-0.03858910702003746,8,4,0.5,893,0.08608898071944941,-1.1892113157880668,1.1072311819643073,0.0026722632257122902,-0.12050454626989127,0.1438938704789263,-0.20788949208683172,23673,8,893,0.5,3,0.625,"{""1"":""{\""entry_z\"":1.8,\""lookback\"":24}"",""2"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""3"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""4"":""{\""entry_z\"":1.2,\""lookback\"":24}"",""5"":""{\""entry_z\"":1.8,\""lookback\"":24}"",""6"":""{\""entry_z\"":1.8,\""lookback\"":24}"",""7"":""{\""entry_z\"":1.8,\""lookback\"":24}"",""8"":""{\""entry_z\"":1.8,\""lookback\"":24}""}",0,minimum_oos_return;minimum_oos_sharpe,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,48.0,1.5,2021-12-29 23:00:00,2025-12-24 23:00:00,8,0.18775928890032367,0.04411647183633405,0.15304377862739,0.3583504767866665,-0.21260484675184388,0.20750454427705298,0.09463035370075223,0.022944315160787987,0.15305975215052733,0.22448560223428868,-0.24061518264544202,0.09535688857422407,8,4,0.5,512,0.1712815919529694,-1.6545714700653282,1.7696417141066596,-0.004038030477193977,-0.08296163472386642,0.08164231284634982,-0.24061518264544202,23673,8,512,0.5,3,0.375,"{""1"":""{\""entry_z\"":1.8,\""lookback\"":58}"",""2"":""{\""entry_z\"":1.8,\""lookback\"":58}"",""3"":""{\""entry_z\"":1.5,\""lookback\"":58}"",""4"":""{\""entry_z\"":1.5,\""lookback\"":58}"",""5"":""{\""entry_z\"":1.5,\""lookback\"":58}"",""6"":""{\""entry_z\"":1.8,\""lookback\"":58}"",""7"":""{\""entry_z\"":1.5,\""lookback\"":38}"",""8"":""{\""entry_z\"":1.5,\""lookback\"":38}""}",0,minimum_oos_sharpe,minimum_oos_sharpe,False,minimum_oos_sharpe,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,96.0,1.5,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.1012734417827551,-0.02643395710738894,0.1464771993327647,-0.10969393351525573,-0.27249345739148223,-0.09700767629591986,-0.13779870833943153,-0.03651584988690604,0.1464820865557912,-0.18074890299847626,-0.28440212245810115,-0.12839513844445954,8,4,0.5,261,0.019679688839880666,-2.4525759980627355,1.2503969221139128,-0.01300034476486911,-0.11835589026832527,0.041486839187042254,-0.28440212245810115,23673,8,261,0.5,4,0.625,"{""1"":""{\""entry_z\"":1.8,\""lookback\"":96}"",""2"":""{\""entry_z\"":1.8,\""lookback\"":115}"",""3"":""{\""entry_z\"":1.8,\""lookback\"":115}"",""4"":""{\""entry_z\"":1.8,\""lookback\"":115}"",""5"":""{\""entry_z\"":1.8,\""lookback\"":115}"",""6"":""{\""entry_z\"":1.8,\""lookback\"":115}"",""7"":""{\""entry_z\"":1.5,\""lookback\"":77}"",""8"":""{\""entry_z\"":1.2,\""lookback\"":77}""}",0,minimum_oos_return;minimum_oos_sharpe,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,2021-12-29 23:00:00,2025-12-24 23:00:00,8,0.15659338985054894,0.03717415527841528,0.13733883266229005,0.3343350361487192,-0.1455438132399639,0.2554155649139463,0.02473638629665409,0.006149535491799751,0.1373447941860425,0.11321026969074659,-0.1862643660933183,0.033015093658434046,8,4,0.5,754,0.1384662705068554,-1.0637215372746693,1.1301716529849521,0.0055564063983132295,-0.10628635055674085,0.12104032795416783,-0.1862643660933183,23673,8,754,0.5,2,0.625,"{""1"":""{\""entry_z\"":2,\""lookback\"":24}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""5"":""{\""entry_z\"":2,\""lookback\"":24}"",""6"":""{\""entry_z\"":2,\""lookback\"":24}"",""7"":""{\""entry_z\"":2,\""lookback\"":24}"",""8"":""{\""entry_z\"":2,\""lookback\"":24}""}",0,minimum_oos_sharpe,minimum_oos_sharpe,False,minimum_oos_sharpe,,
