candidate_id,family,symbol,fold_number,train_start,train_end,test_start,test_end,original_parameters,eligible_parameter_count,selected_parameters,selected_variant_candidate_id,training_objective,training_objective_value,training_net_sharpe,training_net_return,training_max_drawdown,training_trade_count,fallback_selection_used,training_ineligible,test_net_return,test_net_sharpe,test_max_drawdown,test_trade_count,positive_test_fold
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,1,2020-01-01 22:00:00,2021-12-29 22:00:00,2021-12-29 22:00:00,2022-06-29 22:00:00,"{""entry_z"":1.5,""lookback"":24}",9,"{""entry_z"":1.5,""lookback"":29}",mean_reversion__ETHUSD__entry_z-1p5__lookback-29,net_sharpe,-0.9327859322249668,-0.9327859322249668,-0.908390487477264,-0.9330677544002839,427,False,False,-0.6090192825417884,-2.034309339065022,-0.7379334886683062,108,False
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,2,2020-07-01 22:00:00,2022-06-29 22:00:00,2022-06-29 22:00:00,2022-12-28 22:00:00,"{""entry_z"":1.5,""lookback"":24}",9,"{""entry_z"":1.5,""lookback"":29}",mean_reversion__ETHUSD__entry_z-1p5__lookback-29,net_sharpe,-1.1683175999707867,-1.1683175999707867,-0.9276131968148615,-0.9451078406662226,430,False,False,-0.5906404850268846,-2.5513019189468817,-0.6054689128005921,102,False
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,3,2020-12-30 22:00:00,2022-12-28 22:00:00,2022-12-28 22:00:00,2023-06-28 22:00:00,"{""entry_z"":1.5,""lookback"":24}",9,"{""entry_z"":1.5,""lookback"":29}",mean_reversion__ETHUSD__entry_z-1p5__lookback-29,net_sharpe,-1.0586376408499696,-1.0586376408499696,-0.9114272995289882,-0.9417367922619978,431,False,False,-0.33107141270541784,-1.6387004229772897,-0.3799464354615726,105,False
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,4,2021-06-30 22:00:00,2023-06-28 22:00:00,2023-06-28 22:00:00,2023-12-27 22:00:00,"{""entry_z"":1.5,""lookback"":24}",9,"{""entry_z"":1.2,""lookback"":29}",mean_reversion__ETHUSD__entry_z-1p2__lookback-29,net_sharpe,-1.595028981939332,-1.595028981939332,-0.9191387852608475,-0.9334616498278744,491,False,False,-0.2967679263570614,-1.7740948966677894,-0.40211971323362483,127,False
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,5,2021-12-29 22:00:00,2023-12-27 22:00:00,2023-12-27 22:00:00,2024-06-26 22:00:00,"{""entry_z"":1.5,""lookback"":24}",9,"{""entry_z"":1.5,""lookback"":29}",mean_reversion__ETHUSD__entry_z-1p5__lookback-29,net_sharpe,-1.959669706747223,-1.959669706747223,-0.9237903309236414,-0.937445004453691,433,False,False,-0.04947613766851333,0.0643834548314585,-0.2845342893875116,114,False
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,6,2022-06-29 22:00:00,2024-06-26 22:00:00,2024-06-26 22:00:00,2024-12-25 22:00:00,"{""entry_z"":1.5,""lookback"":24}",9,"{""entry_z"":1.8,""lookback"":29}",mean_reversion__ETHUSD__entry_z-1p8__lookback-29,net_sharpe,-1.0649820130810086,-1.0649820130810086,-0.7072430185650765,-0.7783363502695149,378,False,False,-0.45683897887653535,-1.9999619959791943,-0.5234424535964133,85,False
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,7,2022-12-28 22:00:00,2024-12-25 22:00:00,2024-12-25 22:00:00,2025-06-25 22:00:00,"{""entry_z"":1.5,""lookback"":24}",9,"{""entry_z"":1.8,""lookback"":29}",mean_reversion__ETHUSD__entry_z-1p8__lookback-29,net_sharpe,-0.9990117655233676,-0.9990117655233676,-0.6728697347420698,-0.7079709348412331,372,False,False,0.6229937631863733,1.8444886330742816,-0.32280455154361476,94,True
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,8,2023-06-28 22:00:00,2025-06-25 22:00:00,2025-06-25 22:00:00,2025-12-24 22:00:00,"{""entry_z"":1.5,""lookback"":24}",9,"{""entry_z"":1.2,""lookback"":29}",mean_reversion__ETHUSD__entry_z-1p2__lookback-29,net_sharpe,0.0025771117077605923,0.0025771117077605923,-0.26700130650254605,-0.6885686946543592,520,False,False,-0.23705553645268762,-0.7467559340241295,-0.4033628643921088,123,False
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,1,2020-01-01 22:00:00,2021-12-29 22:00:00,2021-12-29 22:00:00,2022-06-29 22:00:00,"{""entry_z"":1.5,""lookback"":48}",9,"{""entry_z"":1.8,""lookback"":38}",mean_reversion__ETHUSD__entry_z-1p8__lookback-38,net_sharpe,-0.7676109718818274,-0.7676109718818274,-0.8730746792460581,-0.9283750683168985,291,False,False,-0.7039706064745448,-2.8830899401871086,-0.7791868014319816,66,False
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,2,2020-07-01 22:00:00,2022-06-29 22:00:00,2022-06-29 22:00:00,2022-12-28 22:00:00,"{""entry_z"":1.5,""lookback"":48}",9,"{""entry_z"":1.2,""lookback"":38}",mean_reversion__ETHUSD__entry_z-1p2__lookback-38,net_sharpe,-1.0867030361093672,-1.0867030361093672,-0.9236567855503985,-0.9453192617988885,379,False,False,-0.45645795228094,-1.5171896993180547,-0.5261110749520007,97,False
