candidate_id,family,symbol,lookback,entry_z,stress_id,stress_type,stress_start,stress_end,market_return,first_observation,last_observation,stress_net_total_return,stress_net_annual_return,stress_net_annual_volatility,stress_net_sharpe,stress_net_max_drawdown,stress_net_calmar,stress_net_observation_count,stress_net_terminal_nav,stress_net_worst_bar_return,stress_transaction_cost,stress_spread_cost,stress_commission_cost,fast_window,slow_window
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,24.0,1.5,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 22:00:00,2020-03-31 23:00:00,-0.27955760127675555,-0.9814358251260095,1.7965969040400973,-1.2846234861679098,-0.5056833627617706,-1.9408109844981545,534,0.7204423987232444,-0.22913931001551857,0.03281361313933549,0.031113613139335493,0.0017000000000000001,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,24.0,1.5,worst_market_window_1,worst_market_window,2020-02-19,2020-03-19 23:59:59,-0.5548631705394349,2020-02-19 00:00:00,2020-03-19 23:00:00,-0.4663120895511056,-0.9995267335055442,1.7968805883845824,-3.3234681703699174,-0.5486106767094401,-1.8219235897862815,530,0.5336879104488944,-0.22913931001551857,0.030327137349978432,0.02872713734997843,0.0016,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,24.0,1.5,worst_market_window_2,worst_market_window,2022-05-17,2022-06-15 23:59:59,-0.484228073174902,2022-05-17 00:00:00,2022-06-15 23:00:00,-0.3406251937283262,-0.9937644656175562,0.9690604010285254,-4.745544804696634,-0.42805138788820174,-2.3216008491884788,528,0.6593748062716738,-0.1164786365818532,0.020476087538919656,0.018526087538919656,0.00195,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,24.0,1.5,worst_market_window_3,worst_market_window,2021-05-25,2021-06-23 23:59:59,-0.4428575661501081,2021-05-25 00:00:00,2021-06-23 23:00:00,0.07792439926618089,1.4964013464966102,0.9920500522788122,1.4157917910503053,-0.2910446843916237,5.141483169928242,528,1.0779243992661809,-0.0540527848220157,0.02222355871791694,0.02007355871791694,0.00215,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,48.0,1.5,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 22:00:00,2020-03-31 23:00:00,-0.2708792998766789,-0.9785266479231174,1.86098851269332,-1.099410397889953,-0.5365619052966083,-1.8236975794660517,534,0.7291207001233211,-0.22913931001551857,0.011332370771566947,0.010332370771566946,0.001,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,48.0,1.5,worst_market_window_1,worst_market_window,2020-02-19,2020-03-19 23:59:59,-0.5548631705394349,2020-02-19 00:00:00,2020-03-19 23:00:00,-0.33771976363481304,-0.993421096546017,1.8857694824403934,-1.6872055717590289,-0.5098187237752183,-1.9485771122522002,530,0.662280236365187,-0.22913931001551857,0.011577585897860222,0.010477585897860221,0.0011,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,48.0,1.5,worst_market_window_2,worst_market_window,2022-05-17,2022-06-15 23:59:59,-0.484228073174902,2022-05-17 00:00:00,2022-06-15 23:00:00,-0.27186627092996307,-0.979102827413118,1.0205695925497114,-3.272435454145038,-0.43974803966429354,-2.226508680199169,528,0.7281337290700369,-0.1164786365818532,0.01058568801340189,0.00958568801340189,0.001,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,48.0,1.5,worst_market_window_3,worst_market_window,2021-05-25,2021-06-23 23:59:59,-0.4428575661501081,2021-05-25 00:00:00,2021-06-23 23:00:00,-0.016908477395448318,-0.18771965172649618,0.9866204164350147,0.28029002006100634,-0.3001472054843197,-0.6254252856480552,528,0.9830915226045517,-0.0540527848220157,0.011308902221190981,0.010208902221190981,0.0011,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion,ETHUSD,96.0,1.5,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 22:00:00,2020-03-31 23:00:00,-0.23824888695469537,-0.96343461103877,1.8787438447908138,-0.788612669241737,-0.5299244065674797,-1.8180604612633327,534,0.7617511130453046,-0.22913931001551857,0.006101486116356632,0.0056514861163566325,0.00045,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion,ETHUSD,96.0,1.5,worst_market_window_1,worst_market_window,2020-02-19,2020-03-19 23:59:59,-0.5548631705394349,2020-02-19 00:00:00,2020-03-19 23:00:00,-0.4173335177070936,-0.998619562523234,1.892993201319358,-2.497938736788198,-0.52992440656748,-1.8844566322047123,530,0.5826664822929064,-0.22913931001551857,0.006308409910573071,0.005908409910573072,0.0004,,
