candidate_id,family,symbol,lookback,entry_z,historical_stress_count,march_2020_net_return,march_2020_max_drawdown,worst_historical_net_return,worst_historical_max_drawdown,synthetic_net_total_return,synthetic_net_max_drawdown,synthetic_terminal_nav,layer3_pass,failure_reason,fast_window,slow_window
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,24.0,1.5,4,-0.27955760127675555,-0.5056833627617706,-0.4663120895511056,-0.5486106767094401,-0.999995767384768,-0.9999959889655979,4.232615231954884e-06,False,march_2020_drawdown;worst_window_net_return;worst_window_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,48.0,1.5,4,-0.2708792998766789,-0.5365619052966083,-0.33771976363481304,-0.5098187237752183,-0.999920012625556,-0.9999483945560114,7.998737444407181e-05,False,march_2020_drawdown;worst_window_net_return;worst_window_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion,ETHUSD,96.0,1.5,4,-0.23824888695469537,-0.5299244065674797,-0.4173335177070936,-0.52992440656748,-0.9998545661494088,-0.9999261419085518,0.00014543385059119523,False,march_2020_drawdown;worst_window_net_return;worst_window_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,24.0,2.0,4,-0.20998890390874092,-0.5089092059368303,-0.3854656592876732,-0.5089092059368305,-0.9999850049602464,-0.9999859975810264,1.4995039753561303e-05,False,march_2020_drawdown;worst_window_net_return;worst_window_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,48.0,2.0,4,-0.31979893758360933,-0.511949337788141,-0.36347301962587153,-0.505246611989342,-0.9999458435089067,-0.999958318075001,5.4156491093266945e-05,False,march_2020_net_return;march_2020_drawdown;worst_window_net_return;worst_window_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,96.0,2.0,4,-0.22600140970908023,-0.52992440656748,-0.39164656817620846,-0.52992440656748,-0.9999228033711324,-0.999956900791681,7.71966288676486e-05,False,march_2020_drawdown;worst_window_net_return;worst_window_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,4,0.2560899721301866,-0.13313336826698952,-0.05840243872979689,-0.15634777785299847,-0.017333757730756627,-0.4227384232976088,0.9826662422692434,True,,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,48.0,1.5,4,0.1553469924284714,-0.1645441714794904,-0.06165505450880793,-0.2130754640591216,-0.20024153063016803,-0.539153776968788,0.799758469369832,False,synthetic_drawdown,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,96.0,1.5,4,-0.00606326002394153,-0.19248960630186418,-0.10871823893003985,-0.21377102465884246,-0.2949257490804026,-0.5304697177236466,0.7050742509195974,False,synthetic_drawdown,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,4,0.26646643997683483,-0.1475206704524299,-0.03329403231300787,-0.17783906574803876,0.34988683009491917,-0.3512489539826802,1.3498868300949192,True,,,
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,4,0.23289157907076108,-0.13089447161712553,-0.04616940598763064,-0.16557165188974954,0.13298492089747493,-0.40154836453008447,1.132984920897475,True,,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,4,0.03265900316812331,-0.19248960630186385,-0.10510230729781578,-0.23607105861814537,-0.007823545070104743,-0.44835009407703574,0.9921764549298953,True,,,
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24.0,1.5,4,-0.044875273419800576,-0.07708797147526358,-0.049333418996715284,-0.08137551161761081,-0.6827413718986592,-0.6909282473510547,0.31725862810134076,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,48.0,1.5,4,-0.02122692030702744,-0.05135749663966982,-0.040492336204213664,-0.08004611639697101,-0.5399311282331839,-0.5724104827902319,0.4600688717668161,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96.0,1.5,4,-0.06678209241048072,-0.0792986103269786,-0.048033481536755906,-0.08414819475272917,-0.3475145561450609,-0.4050955613842233,0.6524854438549391,True,,,
mean_reversion__USDJPY__entry_z-2__lookback-24,mean_reversion,USDJPY,24.0,2.0,4,-0.04301425427147698,-0.06886961909733846,-0.051932667856680936,-0.0720439187038393,-0.6223125318737995,-0.6305698499802993,0.37768746812620047,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__USDJPY__entry_z-2__lookback-48,mean_reversion,USDJPY,48.0,2.0,4,-0.017508616948739175,-0.045697901028994625,-0.03534964283803721,-0.08212914568773355,-0.4589382271568049,-0.494619504145727,0.5410617728431951,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__USDJPY__entry_z-2__lookback-96,mean_reversion,USDJPY,96.0,2.0,4,-0.047453053766280284,-0.06022881687785098,-0.042875507559935744,-0.0773612686338353,-0.22675961029110214,-0.3330807828042174,0.7732403897088979,True,,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-24,mean_reversion,XAUUSD,24.0,1.5,4,-0.07155774696251649,-0.11075262004300057,-0.08498972720611375,-0.13897125484148332,-0.843475679054853,-0.858161056323604,0.15652432094514707,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-48,mean_reversion,XAUUSD,48.0,1.5,4,-0.11614112001472165,-0.13265035394880587,-0.062397700514086774,-0.1678342906827529,-0.7140932842502365,-0.80023617580838,0.2859067157497634,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-96,mean_reversion,XAUUSD,96.0,1.5,4,-0.13155352287186184,-0.15660623219629333,-0.06926471278196134,-0.17954548115995173,-0.7108389832039937,-0.7950235330446449,0.28916101679600625,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__XAUUSD__entry_z-2__lookback-24,mean_reversion,XAUUSD,24.0,2.0,4,-0.10321447741799883,-0.1131931207590744,-0.08934400078775995,-0.1413232823069961,-0.7707990026004896,-0.7942901872172956,0.22920099739951036,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__XAUUSD__entry_z-2__lookback-48,mean_reversion,XAUUSD,48.0,2.0,4,-0.123771926202903,-0.1357734178153821,-0.054958675780629185,-0.16968202254540055,-0.6378977119610214,-0.7517042134827935,0.3621022880389786,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
mean_reversion__XAUUSD__entry_z-2__lookback-96,mean_reversion,XAUUSD,96.0,2.0,4,-0.12038697222942762,-0.14714623646212655,-0.057247590897348544,-0.1669414641686513,-0.6302740548407071,-0.710058945322342,0.36972594515929286,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,,
trend__ETHUSD__fast_window-12__slow_window-120,trend,ETHUSD,,,4,-0.37069069837406876,-0.5753362854408609,-0.16963004236582802,-0.39458864803250004,-0.6477764151496139,-0.9371480526762748,0.3522235848503861,False,march_2020_net_return;march_2020_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,12.0,120.0
trend__ETHUSD__fast_window-12__slow_window-240,trend,ETHUSD,,,4,-0.10266283802023302,-0.4336283694414491,-0.09796382804066639,-0.3885668597536256,0.017704094859109842,-0.904205378805162,1.0177040948591098,False,march_2020_drawdown;synthetic_drawdown,12.0,240.0
trend__ETHUSD__fast_window-12__slow_window-72,trend,ETHUSD,,,4,-0.20831125202381917,-0.44415606733609436,-0.23912243224033713,-0.40585072752474427,-0.9333783321709518,-0.9872252609859575,0.0666216678290482,False,march_2020_drawdown;worst_window_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,12.0,72.0
trend__ETHUSD__fast_window-24__slow_window-120,trend,ETHUSD,,,4,-0.3583127671812816,-0.5486055064758659,-0.15560798931821984,-0.38856685975362504,-0.8161399713166374,-0.9770320908947019,0.1838600286833626,False,march_2020_net_return;march_2020_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,24.0,120.0
trend__ETHUSD__fast_window-24__slow_window-240,trend,ETHUSD,,,4,-0.09441524774340437,-0.43362836944144945,-0.09082894361065796,-0.3885668597536257,1.5864340093111737,-0.8000742380875936,2.5864340093111737,False,march_2020_drawdown;synthetic_drawdown,24.0,240.0
trend__ETHUSD__fast_window-24__slow_window-72,trend,ETHUSD,,,4,-0.2610747987650641,-0.48325057770619106,-0.17560071050098558,-0.3801592539682829,-0.9549499514137534,-0.9886477642469331,0.045050048586246595,False,march_2020_drawdown;synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,24.0,72.0
trend__SPXUSD__fast_window-12__slow_window-120,trend,SPXUSD,,,4,0.1351835177431333,-0.13387349350852817,0.02121658701676221,-0.14603809679904556,-0.049570479038877235,-0.6004495909486717,0.9504295209611228,False,synthetic_drawdown,12.0,120.0
trend__SPXUSD__fast_window-12__slow_window-240,trend,SPXUSD,,,4,0.01245951849108895,-0.24576229354947388,0.06601894591701996,-0.1183313742048312,0.19816991551218188,-0.4214254920564695,1.1981699155121819,True,,12.0,240.0
trend__SPXUSD__fast_window-12__slow_window-72,trend,SPXUSD,,,4,0.07324064126795515,-0.1391677412278547,-0.004387792119360467,-0.1318819467101554,-0.5307281109008224,-0.7188120432463985,0.46927188909917755,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,12.0,72.0
trend__SPXUSD__fast_window-24__slow_window-120,trend,SPXUSD,,,4,0.16119940376911468,-0.11981643772242512,0.0691480216404492,-0.11833137420483164,-0.07252474607751314,-0.5540521398915577,0.9274752539224869,False,synthetic_drawdown,24.0,120.0
trend__SPXUSD__fast_window-24__slow_window-240,trend,SPXUSD,,,4,0.06931889631116017,-0.2034045637499371,0.041923738434209934,-0.1183313742048312,-0.1961773538102053,-0.63360579474974,0.8038226461897947,False,synthetic_drawdown,24.0,240.0
trend__SPXUSD__fast_window-24__slow_window-72,trend,SPXUSD,,,4,0.2203976392805873,-0.11833137420483109,0.027124914994447913,-0.11833137420483109,-0.36152528886242563,-0.6811100828695713,0.6384747111375744,False,synthetic_total_return;synthetic_drawdown;synthetic_terminal_nav,24.0,72.0
