candidate_id,family,symbol,lookback,entry_z,historical_stress_count,march_2020_net_return,march_2020_max_drawdown,worst_historical_net_return,worst_historical_max_drawdown,synthetic_net_total_return,synthetic_net_max_drawdown,synthetic_terminal_nav,layer3_pass,failure_reason,fast_window,slow_window
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,4,0.2560899721301866,-0.13313336826698952,-0.05840243872979689,-0.15634777785299847,-0.017333757730756627,-0.4227384232976088,0.9826662422692434,True,,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,4,0.26646643997683483,-0.1475206704524299,-0.03329403231300787,-0.17783906574803876,0.34988683009491917,-0.3512489539826802,1.3498868300949192,True,,,
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,4,0.23289157907076108,-0.13089447161712553,-0.04616940598763064,-0.16557165188974954,0.13298492089747493,-0.40154836453008447,1.132984920897475,True,,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,4,0.03265900316812331,-0.19248960630186385,-0.10510230729781578,-0.23607105861814537,-0.007823545070104743,-0.44835009407703574,0.9921764549298953,True,,,
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96.0,1.5,4,-0.06678209241048072,-0.0792986103269786,-0.048033481536755906,-0.08414819475272917,-0.3475145561450609,-0.4050955613842233,0.6524854438549391,True,,,
mean_reversion__USDJPY__entry_z-2__lookback-96,mean_reversion,USDJPY,96.0,2.0,4,-0.047453053766280284,-0.06022881687785098,-0.042875507559935744,-0.0773612686338353,-0.22675961029110214,-0.3330807828042174,0.7732403897088979,True,,,
trend__SPXUSD__fast_window-12__slow_window-240,trend,SPXUSD,,,4,0.01245951849108895,-0.24576229354947388,0.06601894591701996,-0.1183313742048312,0.19816991551218188,-0.4214254920564695,1.1981699155121819,True,,12.0,240.0
trend__USDJPY__fast_window-12__slow_window-120,trend,USDJPY,,,4,0.06767551012630024,-0.04567505987924747,0.021133894512586737,-0.03686026176571877,-0.12854872354041758,-0.3701303874619126,0.8714512764595824,True,,12.0,120.0
trend__USDJPY__fast_window-12__slow_window-240,trend,USDJPY,,,4,0.005672858675156878,-0.06919724824589035,0.04862330293820327,-0.036860261765719216,-0.11969420691947297,-0.3042932713324412,0.880305793080527,True,,12.0,240.0
trend__USDJPY__fast_window-12__slow_window-72,trend,USDJPY,,,4,0.04906624076864752,-0.08030692626836045,0.0019526635459155006,-0.03809016905082008,-0.15481370674316908,-0.4013955022490483,0.8451862932568309,True,,12.0,72.0
trend__USDJPY__fast_window-24__slow_window-120,trend,USDJPY,,,4,0.07096439066665661,-0.03685737629021324,0.03416554588417431,-0.039415806807077236,-0.11745698814201977,-0.3213857696105017,0.8825430118579802,True,,24.0,120.0
trend__USDJPY__fast_window-24__slow_window-240,trend,USDJPY,,,4,0.016470898018668745,-0.07545750472467128,0.04862330293820327,-0.03686026176571844,0.017170739090839993,-0.273756655203764,1.01717073909084,True,,24.0,240.0
trend__USDJPY__fast_window-24__slow_window-72,trend,USDJPY,,,4,0.05820971576668765,-0.06257657234858327,-0.011847210045269785,-0.04443705101550466,0.03601001569797058,-0.3197380756871707,1.0360100156979706,True,,24.0,72.0
trend__XAUUSD__fast_window-12__slow_window-120,trend,XAUUSD,,,4,0.02581435567774526,-0.06353088364609538,0.022032187966931405,-0.10589567042475956,1.716665564723848,-0.29466880524967554,2.716665564723848,True,,12.0,120.0
trend__XAUUSD__fast_window-12__slow_window-240,trend,XAUUSD,,,4,0.005821007387484922,-0.07839253834085347,0.01535135398341958,-0.09157535963484376,0.3399789480772011,-0.3879317245125816,1.339978948077201,True,,12.0,240.0
trend__XAUUSD__fast_window-12__slow_window-72,trend,XAUUSD,,,4,0.14749731997707416,-0.05522164789128958,0.03234908649218027,-0.1367758317737997,1.1687718507060025,-0.38856531313833453,2.1687718507060025,True,,12.0,72.0
trend__XAUUSD__fast_window-24__slow_window-120,trend,XAUUSD,,,4,0.029404532187115917,-0.07059842114958914,0.028248645062427524,-0.09247694174021648,1.1124093689006433,-0.3362608361719469,2.1124093689006433,True,,24.0,120.0
trend__XAUUSD__fast_window-24__slow_window-240,trend,XAUUSD,,,4,-0.007043703179502869,-0.08262086875643715,0.013929579579056384,-0.08840047882122615,0.5260229154347977,-0.41841933819159327,1.5260229154347977,True,,24.0,240.0
trend__XAUUSD__fast_window-24__slow_window-72,trend,XAUUSD,,,4,0.13201435351407587,-0.05522164789128947,0.0032640353735089445,-0.1291219479728224,1.553234970683306,-0.28545015511527116,2.553234970683306,True,,24.0,72.0
