candidate_id,family,symbol,lookback,entry_z,observed_net_sharpe,permutation_count,permutation_mean_sharpe,permutation_median_sharpe,permutation_sharpe_p95,permutation_p_value,bootstrap_count,bootstrap_trade_count,bootstrap_median_total_return,bootstrap_total_return_p05,bootstrap_total_return_p95,bootstrap_probability_negative_return,bootstrap_median_max_drawdown,bootstrap_drawdown_p95,dsr_observation_count,dsr_trial_count,dsr_period_sharpe,dsr_sharpe_standard_error,dsr_benchmark_sharpe,dsr_probability,dsr_skewness,dsr_kurtosis,layer4_pass,failure_reason,fast_window,slow_window
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,24.0,1.5,-1.2677581601717791,2000,-0.4047254619273323,-0.40939035744069163,0.26043574137829284,0.9825087456271864,5000,1638,-0.9979834885397192,-0.9998980791278751,-0.964554258539941,1.0,0.9986172883385683,0.9999229058665497,40005,48,-0.016063938231066,0.004962980937210093,0.011219399004125535,1.927498154294514e-08,-1.144670163356819,58.8744464955506,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,48.0,1.5,-0.8351504947828352,2000,-0.22039063909422424,-0.2017054011920553,0.45727591096053516,0.9265367316341829,5000,890,-0.9914008200587764,-0.9995157522501806,-0.8565440303758285,0.9976,0.9946808890111412,0.9996701772115237,40005,48,-0.010582306928332336,0.004984129120430904,0.011267206946321663,5.830866373175198e-06,-0.742517582744322,58.81615462510785,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion,ETHUSD,96.0,1.5,-0.7155109469093346,2000,-0.16276363288292925,-0.13007250429906356,0.5162543629796681,0.9045477261369316,5000,474,-0.9904940827543239,-0.9996591892300846,-0.7634640453667023,0.9938,0.9945219821205934,0.9997658489949321,40005,48,-0.00906633774161287,0.004966620496261652,0.011227626653136306,2.193697071216825e-05,-1.6309378307801008,77.79308136262797,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,24.0,2.0,-1.2468542762056245,2000,-0.3360916583599492,-0.3333223839937076,0.31734021094096865,0.9880059970014993,5000,1267,-0.9969253999615459,-0.9998050263012889,-0.9645327737540366,1.0,0.9977683815830104,0.9998472887745297,40005,48,-0.015799062238647875,0.004956283864378244,0.011204259487530404,2.5426755693521882e-08,-1.3798159079419758,72.9208295882169,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,48.0,2.0,-1.031976812992019,2000,-0.21556955521468665,-0.1890126367903076,0.4398377031460683,0.9695152423788106,5000,682,-0.9951731033317016,-0.9996956900041298,-0.9344249055230538,0.9998,0.9965705785774079,0.9997703344054208,40005,48,-0.013076320311399063,0.004968340420789738,0.011231514743737844,4.976986946069845e-07,-1.1728669728185057,66.7764969981362,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,96.0,2.0,-0.8925486583319476,2000,-0.14514989114623142,-0.12866830694977605,0.5024585768151907,0.9615192403798101,5000,364,-0.9946235926878704,-0.9997721757268319,-0.8888162936360098,0.9972,0.9963254154053687,0.9998394589110357,40005,48,-0.011309606962989285,0.004951716866241104,0.011193935253969984,2.752063466816824e-06,-1.9425150352371965,90.03818673605393,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,0.0940485230914162,2000,-0.31788831448442034,-0.314583465909571,0.31404546257404875,0.14292853573213393,5000,1645,0.1483218196631515,-0.3979839472721265,1.1646529975456419,0.366,0.3172142076408734,0.5393843266823883,38223,48,0.0012156083406750305,0.005110374896455299,0.011552600291918387,0.021549654969216767,1.4964551975634381,61.20248847774446,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,48.0,1.5,-0.017569198599020723,2000,-0.2493087118328388,-0.22568638391132478,0.3610059500370508,0.28585707146426786,5000,893,-0.040565333682231454,-0.49493980053158076,0.8123388102698459,0.54,0.34969201393327703,0.5875226422883899,38223,48,-0.0002270877165735623,0.00511589419609832,0.01156507731443808,0.010583128469706545,1.583079592942488,75.39735352250992,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,96.0,1.5,-0.07496703925681193,2000,-0.2200806218537561,-0.2111744414792242,0.4075576681487785,0.34782608695652173,5000,493,-0.13106917907755228,-0.5096107859148505,0.47640473741951783,0.661,0.35131238767326906,0.5819221261302653,38223,48,-0.0009689738360666558,0.005118341827541039,0.011570610471651123,0.007144179644596815,1.3415093969610572,77.75633698485811,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,0.30557529500684244,2000,-0.2710007890470165,-0.27307463070538995,0.3675471597065716,0.063968015992004,5000,1296,0.3912584717334797,-0.2254490144211715,1.4826357733147382,0.1714,0.2542913088094111,0.4454765739413695,38223,48,0.003949661994728908,0.005096746738784259,0.011521792247209579,0.06868200693533619,1.8782637720630457,79.15491262973535,False,permutation_p_value;bootstrap_drawdown_p95;deflated_sharpe_probability,,
