layer,failure_reason,candidate_failures
layer1,oos_net_sharpe,26
layer1,oos_net_return,25
layer1,positive_neighbor_count,23
layer1,median_neighbor_sharpe,20
layer1,worst_neighbor_sharpe,17
layer1,trade_profit_concentration,2
layer2,minimum_profitable_fold_share,26
layer2,minimum_oos_sharpe,25
layer2,minimum_oos_return,24
layer2,maximum_drawdown,18
layer3,synthetic_drawdown,23
layer3,synthetic_terminal_nav,22
layer3,synthetic_total_return,22
layer3,worst_window_drawdown,6
layer4,deflated_sharpe_probability,36
layer4,permutation_p_value,34
layer4,bootstrap_probability_negative_return,32
layer4,bootstrap_drawdown_p95,30
