family,symbol,candidate_count,median_full_sample_sharpe,layer1_passes,layer2_passes,layer3_passes,layer4_passes,final_survivors
carry,AUDUSD,3,0.2388790156028952,0,0,3,0,0
carry,EURUSD,3,-0.1204358261968166,0,0,3,0,0
carry,GBPUSD,3,-0.0887984160653758,0,0,3,0,0
carry,USDJPY,3,0.4796870979993244,0,0,3,0,0
mean_reversion,AUDUSD,6,0.4060261972020947,2,5,6,0,0
mean_reversion,EURUSD,6,-0.16312511622635306,0,0,6,0,0
mean_reversion,GBPUSD,6,-0.1651007345889708,0,1,6,0,0
mean_reversion,SAP,6,-0.01448437919444345,0,1,0,0,0
mean_reversion,USDJPY,6,-0.9309891962797967,0,0,1,0,0
mean_reversion,VOD,6,-0.06546024788159024,1,0,0,0,0
mean_reversion,XAGUSD,6,-0.7933880141323075,0,0,0,0,0
mean_reversion,XAUUSD,6,-0.7414942012800576,0,0,0,0,0
momentum,AUDUSD,6,-1.0755871868528808,0,0,0,0,0
momentum,EURUSD,6,-0.6544107787373351,0,0,3,0,0
momentum,GBPUSD,6,-0.7301645730492553,0,0,2,0,0
momentum,SAP,6,0.019160806988643503,0,0,0,0,0
momentum,USDJPY,6,-0.0399972282798063,0,0,6,0,0
momentum,VOD,6,-0.6196159573191888,0,0,0,0,0
momentum,XAGUSD,6,-0.020319874882614098,1,0,0,0,0
momentum,XAUUSD,6,0.30016990326682697,3,3,3,0,0
stat_arb,AUDUSD_VOD,6,0.5236861742716341,3,2,0,0,0
stat_arb,XAGUSD_XAUUSD,6,-0.7901340042269895,0,0,0,0,0
trend,AUDUSD,6,-0.6901600231983946,0,0,0,0,0
trend,EURUSD,6,-0.1583973362384298,0,0,4,0,0
trend,GBPUSD,6,-0.35144129726156703,0,0,3,0,0
trend,SAP,6,0.081777037798557,0,0,0,0,0
trend,USDJPY,6,-0.0224559229999921,2,2,6,0,0
trend,VOD,6,-0.38921822850765064,0,0,0,0,0
trend,XAGUSD,6,0.4742944469607754,4,0,0,0,0
trend,XAUUSD,6,0.546442820210232,4,6,5,0,0
volatility,AUDUSD,6,-0.8658390198439406,0,0,0,0,0
volatility,EURUSD,6,-0.7369862342669894,0,0,3,0,0
volatility,GBPUSD,6,-0.4212063837588398,0,0,5,0,0
volatility,SAP,6,-0.15673703148454696,0,0,0,0,0
volatility,USDJPY,6,0.5270423239872463,3,5,6,0,0
volatility,VOD,6,-0.1225407355579527,0,0,0,0,0
volatility,XAGUSD,6,0.3146475890494129,3,0,0,0,0
volatility,XAUUSD,6,0.492504170522135,4,4,6,0,0
