candidate_id,net_annual_return,net_sharpe,net_max_drawdown,trade_count,layer1_pass,layer2_pass,layer3_pass,layer4_pass,final_pass
trend__ETHUSD__fast_window-24__slow_window-240,30.5%,0.73,-58.3%,282,False,False,False,False,False
trend__XAUUSD__fast_window-12__slow_window-120,11.8%,0.71,-20.6%,572,True,True,True,False,False
trend__XAUUSD__fast_window-24__slow_window-72,11.1%,0.68,-20.0%,524,True,True,True,False,False
trend__ETHUSD__fast_window-12__slow_window-240,19.2%,0.62,-74.2%,404,False,False,False,False,False
trend__XAUUSD__fast_window-12__slow_window-72,9.2%,0.58,-27.7%,764,True,True,True,False,False
trend__XAUUSD__fast_window-24__slow_window-120,8.9%,0.57,-23.3%,420,True,True,True,False,False
trend__ETHUSD__fast_window-12__slow_window-120,7.4%,0.49,-72.7%,626,True,False,False,False,False
trend__ETHUSD__fast_window-24__slow_window-120,-0.2%,0.39,-80.0%,456,True,False,False,False,False
trend__XAUUSD__fast_window-24__slow_window-240,5.3%,0.38,-29.9%,284,False,True,True,False,False
mean_reversion__SPXUSD__entry_z-2__lookback-24,3.5%,0.31,-24.7%,1296,False,False,True,False,False
